;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		Adl_001	N	36926	12529	0	0	565										
#record		Adl_002	N	33596	14192	0	0	502										
#record		Adl_003	N	35539	12827	0	0	586										
#record		Adl_004	N	32326	14625	0	0	285										
#record		Adl_005	N	35628	11767	0	0	592										
#record		Adl_006	N	34513	11728	0	0	529										
#record		Adl_008	N	32549	13668	0	0	726										
#record		Adl_009	N	34644	10593	0	0	551										
#record		Adl_010	N	33833	12902	0	0	879										
#record		Adl_011	N	34133	9580	0	0	529										
#record		Adl_012	N	33141	10026	0	0	327										
#record		Adl_013	N	28651	10028	0	0	341										
#record		Adl_014	N	28103	11349	0	0	424										
#record		Adl_015	N	26698	10656	0	0	424										
#record		Adl_016	N	26210	9544	0	0	467										
#record		Adl_017	N	27664	10402	0	0	508										
#record		Adl_018	N	26720	8603	0	0	544										
#record		Adl_019	N	27234	9379	0	0	474										
#record		Adl_020	N	28071	7927	0	0	389										
#record		Adl_021	N	27421	7585	0	0	517										
#record		Adl_022	N	28851	7397	0	0	461										
#record		Adl_023	N	27616	6435	0	0	580										
#record		Adl_024	N	26405	5710	0	0	369										
#record		Adl_025	N	26308	4373	0	0	559										
#record		Adl_hero01	N	26791	5250	0	0	461										
#record		Adl_027	N	26978	5256	0	0	538										
#record		Adl_028	N	28145	4985	0	0	461										
#record		Adl_029	N	27935	4027	0	0	284										
#record		Adl_030	N	26581	3516	0	0	391										
#record		Adl_031	N	26870	2626	0	0	601										
#record		Adl_032	N	28063	3089	0	0	447										
#record		Adl_033	N	29134	3044	0	0	440										
#record		Adl_034	N	29745	4249	0	0	341										
#record		Adl_035	N	29478	5392	0	0	664										
#record		Adl_036	N	31379	5517	0	0	544										
#record		Adl_037	N	31648	6935	0	0	425										
#record		Adl_038	N	30265	8490	0	0	433										
#record		Adl_039	N	30164	6589	0	0	663										
#record		Adl_040	N	31764	8799	0	0	531										
#record		Adl_041	N	32529	7635	0	0	579										
#record		Adl_042	N	32022	4975	0	0	433										
#record		Adl_043	N	33033	4911	0	0	461										
#record		Adl_044	N	31724	3954	0	0	566										
#record		Adl_045	N	38265	12782	0	0	593										
#record		Adl_046	N	33858	4052	0	0	530										
#record		Adl_047	N	32606	3936	0	0	482										
#record		Adl_hero02	N	33063	3372	0	0	82										
#record		Adl_049	N	33054	3249	0	0	439										
#record		Adl_050	N	36484	13662	0	0	678										
#record		Adl_051	N	37632	14490	0	0	622										
#record		Adl_052	N	38967	15064	0	0	691										
#record		Adl_054	N	40995	13115	0	0	636										
#record		Adl_055	N	39704	12757	0	0	671										
#record		Adl_056	N	40414	15211	0	0	587										
#record		Adl_DNepilim01	N	43647	14375	0	0	90										
#record		Adl_058	N	43714	14816	0	0	902										
#record		Adl_059	N	43409	15976	0	0	425										
#record		Adl_060	N	42006	15221	0	0	803										
#record		Adl_061	N	42368	13577	0	0	705										
#record		Adl_062	N	44956	15682	0	0	565										
#record		Adl_DNepilim02	N	44531	21439	0	0	90										
#record		Adl_064	N	45073	14245	0	0	481										
#record		Adl_DNepilim03	N	41590	16189	0	0	90										
#record		Adl_066	N	43718	13055	0	0	593										
#record		Adl_067	N	41691	16649	0	0	439										
#record		Adl_068	N	42249	17769	0	0	523										
#record		Adl_069	N	43131	18796	0	0	656										
#record		Adl_070	N	42999	20056	0	0	503										
#record		Adl_071	N	45215	17323	0	0	390										
#record		Adl_072	N	45253	18874	0	0	376										
#record		Adl_073	N	44946	20475	0	0	482										
#record		Adl_074	N	41606	19881	0	0	509										
#record		Adl_075	N	39878	18647	0	0	390										
#record		Adl_076	N	38680	18451	0	0	432										
#record		Adl_077	N	39502	17816	0	0	509										
#record		Adl_078	N	37336	19097	0	0	678										
#record		Adl_079	N	37444	17787	0	0	741										
#record		Adl_080	N	38493	17436	0	0	502										
#record		Adl_081	N	38065	19763	0	0	467										
#record		Adl_082	N	37046	20114	0	0	446										
#record		Adl_083	N	38162	20640	0	0	306										
#record		Adl_084	N	37383	21066	0	0	510										
#record		Adl_085	N	39775	21500	0	0	634										
#record		Adl_086	N	41039	21713	0	0	524										
#record		Adl_087	N	42472	21795	0	0	446										
#record		Adl_088	N	43743	21540	0	0	558										
#record		Adl_089	N	45215	10133	0	0	510										
#record		Adl_090	N	45003	8806	0	0	713										
#record		Adl_091	N	44329	7295	0	0	845										
#record		Adl_092	N	44333	5314	0	0	454										
#record		Adl_093	N	43219	5807	0	0	845										
#record		Adl_094	N	41359	5855	0	0	859										
#record		Adl_095	N	42442	4129	0	0	782										
#record		Adl_hero03	N	43706	2295	0	0	496										
#record		Adl_097	N	43481	2470	0	0	706										
#record		Adl_098	N	40760	10030	0	0	657										
#record		Adl_099	N	41824	8976	0	0	670										
#record		Adl_hero04	N	41817	8164	0	0	496										
#record		Adl_101	N	41810	7994	0	0	706										
#record		Adl_102	N	40016	7713	0	0	720										
#record		Adl_103	N	39321	9754	0	0	601										
#record		Adl_104	N	37976	9277	0	0	769										
#record		Adl_105	N	37058	8110	0	0	635										
#record		Adl_106	N	36268	6710	0	0	732										
#record		Adl_107	N	37195	4896	0	0	615										
#record		Adl_hero05	N	37213	3621	0	0	398										
#record		Adl_109	N	37128	3089	0	0	1034										
#record		Adl_110	N	38656	4899	0	0	719										
#record		Adl_111	N	40057	3573	0	0	509										
#record		Adl_112	N	39367	2540	0	0	607										
#record		Adl_113	N	40975	2765	0	0	604										
#record		Adl_114	N	38770	3672	0	0	506										
#record		FLOWER1	N	30757	18526	0	0	375										
#record		FLOWER2	N	30626	20384	0	0	270										
#record		FLOWER3	N	28551	21198	0	0	270										
#record		FLOWER4	N	27107	20136	0	0	312										
#record		FLOWER5	N	31481	10773	0	0	544										
#record		FLOWER6	N	32293	10630	0	0	481										
#record		FLOWER7	N	30763	10796	0	0	551										
#record		FLOWER8	N	37655	21356	0	0	355										
#record		FLOWER9	N	37038	21204	0	0	383										
#record		FLOWER10	N	38406	20196	0	0	313										
#record		HERB1	N	31856	10796	0	0	383										
#record		HERB2	N	36788	20975	0	0	404										
#record		WOOD1	N	31366	11020	0	0	446										
#record		WOOD2	N	37865	21344	0	0	285										
#record		MUSHROOM1	N	30410	11122	0	0	285										
#record		MUSHROOM2	N	38418	19898	0	0	285										
#record		PresentBox01	N	37932	18056	0	0	1434										
#record		PresentBox02	N	38482	3426	0	0	1882										
#record		QuestHerb1	N	31208	19277	0	0	160										
#record		QuestHerb2	N	29843	20969	0	0	160										
#record		QuestHerb3	N	27764	21269	0	0	160										
#record		QuestHerb4	N	26470	19182	0	0	160										
#record		AdlGuardFiled01	N	30258	17559	0	0	37										
#record		AdlGuardFiled02	N	29280	17526	0	0	44										
#record		AdlGuard03	N	14546	12100	0	0	23										
#record		AdlGuard04	N	14668	12447	0	0	23										
#record		AdlGuard05	N	11487	9770	0	0	16										
#record		AdlGuard06	N	11866	9770	0	0	16										
#record		AdlGuard07	N	11035	14867	0	0	30										
#record		AdlGuard08	N	11717	12528	0	0	23										
#record		AdlGuard09	N	11508	10710	0	0	23										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
#record		Adl_001	DApe	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_002	DApe	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_003	DApe	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_004	DApe	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_005	DApe	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_006	DApe	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_008	DApe	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_009	DApe	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_010	DApe	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_010	BSpikeHorn	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_011	BSpikeHorn	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		Adl_012	DApe	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
