;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		EchoCave001	N	2745	2881	0	0	300										
#record		EchoCave002	N	2759	2251	0	0	300										
#record		EchoCave003	N	1677	3663	0	0	300										
#record		EchoCave004	N	2331	3418	0	0	300										
#record		EchoCave005	N	1958	4090	0	0	300										
#record		EchoCave009	N	3327	3284	0	0	300										
#record		EchoCave010	N	3008	3721	0	0	300										
#record		EchoCave011	N	2127	4721	0	0	300										
#record		EchoCave012	N	2588	4281	0	0	300										
#record		EchoCave013	N	2684	4869	0	0	300										
#record		EchoCave014	N	3761	3844	0	0	300										
#record		EchoCave018	N	4786	3204	0	0	300										
#record		EchoCave019	N	4167	4234	0	0	300										
#record		EchoCave020	N	3441	4942	0	0	300										
#record		EchoCave021	N	3465	4368	0	0	300										
#record		EchoCave022	N	4213	4944	0	0	300										
#record		EchoCave023	N	4745	5525	362	121	-44										
#record		EchoCave028	N	5691	6787	0	0	300										
#record		EchoCave029	N	6474	6510	0	0	300										
#record		EchoCave030	N	6172	7144	0	0	300										
#record		EchoCave031	N	6516	7638	0	0	300										
#record		EchoCave032	N	5951	7988	0	0	300										
#record		EchoCave033	N	6994	6996	0	0	300										
#record		EchoCave035	N	7850	7398	0	0	300										
#record		EchoCave036	N	8089	7921	0	0	300										
#record		EchoCave037	N	7152	8237	0	0	300										
#record		EchoCave038	N	6722	8604	0	0	300										
#record		EchoCave039	N	8356	7335	0	0	300										
#record		EchoCave040	N	7278	8839	0	0	300										
#record		EchoCave043	N	6735	9792	0	0	300										
#record		EchoCave044	N	6308	9542	0	0	300										
#record		EchoCave045	N	9381	7219	0	0	300										
#record		EchoCave046	N	8896	6897	0	0	300										
#record		EchoCave047	N	6379	10337	0	0	300										
#record		EchoCave048	N	9832	6820	0	0	300										
#record		EchoCave052	N	7775	9437	0	0	300										
#record		EchoCave053	N	8427	9526	0	0	300										
#record		EchoCave054	N	8783	8755	0	0	300										
#record		EchoCave055	N	9342	8060	0	0	300										
#record		EchoCave056	N	7670	10043	0	0	300										
#record		EchoCave057	N	8818	8296	0	0	300										
#record		EchoCave062	N	8453	10289	0	0	300										
#record		EchoCave063	N	9881	9917	0	0	300										
#record		EchoCave064	N	9607	8815	0	0	300										
#record		EchoCave065	N	9003	10324	0	0	300										
#record		EchoCave066	N	9591	9373	0	0	300										
#record		EchoCave067	N	10241	10486	0	0	300										
#record		EchoCave068	N	9665	10439	0	0	300										
#record		EchoCave070	N	5512	12131	80	562	-37										
#record		EchoCave071	N	4884	13502	133	525	-19										
#record		EchoCave072	N	10893	6264	374	217	26										
#record		EchoCave073	N	11773	6044	337	189	0										
#record		EchoCave074	N	13135	5869	456	84	22										
#record		EchoCave082	N	4470	15105	0	0	300										
#record		EchoCave083	N	5299	15709	0	0	300										
#record		EchoCave084	N	5276	15136	0	0	300										
#record		EchoCave085	N	4160	15592	0	0	300										
#record		EchoCave086	N	15657	5057	0	0	300										
#record		EchoCave087	N	15152	6061	0	0	300										
#record		EchoCave088	N	15106	5109	0	0	300										
#record		EchoCave089	N	16057	5364	0	0	300										
#record		EchoCave094	N	4400	16438	0	0	300										
#record		EchoCave095	N	4747	16925	0	0	300										
#record		EchoCave096	N	3779	16415	0	0	300										
#record		EchoCave097	N	17106	4545	0	0	300										
#record		EchoCave098	N	16563	4822	0	0	300										
#record		EchoCave099	N	17024	5228	0	0	300										
#record		EchoCave100	N	4012	17013	0	0	300										
#record		EchoCave101	N	17547	4905	0	0	300										
#record		EchoCave106	N	16384	6582	0	0	300										
#record		EchoCave107	N	15760	6715	0	0	300										
#record		EchoCave108	N	16662	6178	0	0	300										
#record		EchoCave109	N	16044	7216	0	0	300										
#record		EchoCave110	N	6312	17371	0	0	300										
#record		EchoCave111	N	5704	16624	0	0	300										
#record		EchoCave112	N	6492	16776	0	0	300										
#record		EchoCave113	N	5952	16122	0	0	300										
#record		EchoCave118	N	4717	18289	0	0	300										
#record		EchoCave119	N	4789	17761	0	0	300										
#record		EchoCave120	N	4175	17952	0	0	300										
#record		EchoCave121	N	5369	18281	0	0	300										
#record		EchoCave122	N	16908	7168	0	0	300										
#record		EchoCave123	N	17608	6258	0	0	300										
#record		EchoCave124	N	17368	6733	0	0	300										
#record		EchoCave125	N	18059	6602	0	0	300										
#record		EchoCave129	N	7454	16193	521	157	14										
#record		EchoCave130	N	9831	19031	445	146	0										
#record		EchoCave131	N	7157	18644	467	108	-2										
#record		EchoCave132	N	8378	18798	372	181	0										
#record		EchoCave133	N	16105	8287	178	426	-13										
#record		EchoCave134	N	19359	10476	127	393	-10										
#record		EchoCave135	N	19443	9227	154	431	9										
#record		EchoCave136	N	19090	8234	187	453	22										
#record		EchoCave139	N	9177	15551	448	167	20										
#record		EchoCave140	N	10404	15157	0	0	300										
#record		EchoCave141	N	10961	18963	409	119	7										
#record		EchoCave142	N	12094	18788	386	159	8										
#record		EchoCave143	N	15599	9863	101	476	-13										
#record		EchoCave144	N	15147	10753	0	0	300										
#record		EchoCave145	N	19140	11974	157	433	0										
#record		EchoCave146	N	18751	13304	173	515	-28										
#record		EchoCave149	N	10653	13292	245	1089	-3										
#record		EchoCave151	N	11759	16369	225	1138	39										
#record		EchoCave152	N	11358	11136	0	0	503										
#record		EchoCave153	N	13785	10413	795	137	-20										
#record		EchoCave154	N	16418	12796	175	1085	22										
#record		EchoCave155	N	17366	15442	0	0	622										
#record		EchoCave156	N	12984	18268	0	0	643										
#record		EchoCave157	N	13137	14547	0	0	300										
#record		EchoCave158	N	13841	13353	0	0	300										
#record		EchoCave159	N	15044	16906	0	0	300										
#record		EchoCave160	N	13695	14853	0	0	300										
#record		EchoCave161	N	13721	13949	0	0	300										
#record		EchoCave162	N	14747	14024	0	0	300										
#record		EchoCave163	N	14617	13573	0	0	300										
#record		EchoCave164	N	13257	13565	0	0	300										
#record		EchoCave165	N	16016	16949	0	0	300										
#record		EchoCave166	N	17192	19672	0	0	300										
#record		EchoCave167	N	18227	18940	0	0	300										
#record		EchoCave168	N	18928	17687	0	0	300										
#record		EchoCave169	N	16672	20995	0	0	300										
#record		EchoCave170	N	16007	21295	0	0	300										
#record		EchoCave171	N	19714	17979	0	0	300										
#record		EchoCave172	N	18953	18205	0	0	300										
#record		EchoCave173	N	17940	19861	0	0	300										
#record		EchoCave176	N	19293	20600	0	0	300										
#record		EchoCave177	N	20927	21351	0	0	300										
#record		EchoCave178	N	20311	21943	0	0	300										
#record		EchoCave179	N	21259	22834	0	0	300										
#record		EchoCave180	N	21024	22075	0	0	300										
#record		EchoCave181	N	22128	21243	0	0	300										
#record		EchoCave182	N	20783	23152	0	0	300										
#record		EchoCave183	N	22058	21886	0	0	300										
#record		EchoCave187	N	23931	21253	0	0	300										
#record		EchoCave188	N	23392	21773	0	0	300										
#record		EchoCave189	N	23298	22978	0	0	300										
#record		EchoCave190	N	22869	23589	0	0	300										
#record		EchoCave191	N	22167	22987	0	0	300										
#record		EchoCave192	N	22552	22534	0	0	300										
#record		EchoCave193	N	21824	23647	0	0	300										
#record		EchoCave194	N	22761	21531	0	0	300										
#record		EchoCaveMINE01	N	3000	3418	0	0	517										
#record		EchoCaveMINE02	N	3511	4249	0	0	615										
#record		EchoCaveMINE03	N	7176	7550	0	0	587										
#record		EchoCaveMINE04	N	7966	8668	0	0	531										
#record		EchoCaveMINE05	N	8890	9390	0	0	510										
#record		EchoCaveMINE06	N	5013	16358	0	0	510										
#record		EchoCaveMINE07	N	5451	17532	0	0	482										
#record		EchoCaveMINE08	N	16396	5746	0	0	531										
#record		EchoCaveMINE09	N	17106	5945	0	0	461										
#record		EchoCaveMINE10	N	14993	17585	0	0	440										
#record		EchoCaveMINE11	N	15832	17210	0	0	482										
#record		EchoCaveMINE12	N	14246	14535	0	0	440										
#record		EchoCaveMINE13	N	14317	15200	0	0	475										
#record		EchoCaveMINE14	N	18098	19776	0	0	503										
#record		EchoCaveMINE15	N	17631	19375	0	0	559										
#record		P01	N	22368	22519	1190	1362	57										
#record		EchoCaveGuard01	N	4151	5333	12	11	11										
#record		EchoCaveGuard02	N	4536	4915	10	11	11										
#record		EchoCaveGuard03	N	9457	19536	11	13	11										
#record		EchoCaveGuard04	N	9011	19457	11	10	11										
#record		EchoCaveGuard05	N	18791	6708	11	12	11										
#record		EchoCaveGuard06	N	18284	7003	10	10	11										
#record		EchoCaveC1_01	N	20486	23832	0	0	33										
#record		EchoCaveC2_01	N	23779	21220	0	0	33										
#record		EchoCaveC3_01	N	22137	22124	0	0	33										
#record		EchoCaveC4_01	N	23695	23833	0	0	33										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
