;	Shine Monster Regeneration Table			V0.3																
;	Monster Group																			
#ignore	\o042																			
#exchange	#	\x20																		
																				
#table	MobRegenGroup																			
;		GroupID	Family	Regen Region																
;			Y/N	X	Y	X	Y	Range/Degree												
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD												
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree												
#record		EldSleep01_001	N	11294	7783	0	0	553												
#record		EldSleep01_002	N	11718	7257	0	0	511												
#record		EldSleep01_003	N	12953	7413	0	0	469												
#record		EldSleep01_004	N	13488	8302	0	0	469												
#record		EldSleep01_005	N	14117	7560	0	0	539												
#record		EldSleep01_006	N	11789	9887	285	563	0												
#record		EldSleep01_007	N	12936	10223	98	982	-28												
#record		EldSleep01_008	N	9836	11543	0	0	490												
#record		EldSleep01_009	N	10411	13019	0	0	448												
#record		EldSleep01_010	N	8603	12415	894	211	0												
#record		EldSleep01_011	N	8771	13230	0	0	490												
#record		EldSleep01_012	N	9246	14006	0	0	532												
#record		EldSleep01_013	N	8266	15442	294	906	20												
#record		EldSleep01_014	N	9560	15499	0	0	350												
#record		EldSleep01_015	N	8631	16939	395	141	49												
#record		EldSleep01_016	N	11503	14236	0	0	623												
#record		EldSleep01_017	N	11379	15735	522	378	53												
#record		EldSleep01_018	N	13149	12066	0	0	476												
#record		EldSleep01_019	N	13441	13154	0	0	518												
#record		EldSleep01_020	N	13136	15125	0	0	861												
#record		EldSleep01_021	N	15901	10989	0	0	637												
#record		EldSleep01_022	N	10447	17906	0	0	623												
#record		EldSleep01_023	N	16010	9176	677	238	56												
#record		EldSleep01_024	N	14004	11691	602	602	0												
#record		EldSleep01_025	N	10584	16675	0	0	574												
#record		EldSleep01_026	N	18164	9960	203	860	54												
#record		EldSleep01_027	N	15701	8263	78	896	-33												
#record		EldSleep01_028	N	15125	9962	185	480	30												
#record		EldSleep01_029	N	15957	11987	319	359	0												
#record		EldSleep01_030	N	19292	10659	910	247	11												
#record		EldSleep01_031	N	14593	16856	0	0	511												
#record		EldSleep01_032	N	19028	13356	0	0	448												
#record		EldSleep01_033	N	18092	13362	0	0	483												
#record		EldSleep01_034	N	15397	15643	0	0	440												
#record		EldSleep01_035	N	16330	15218	0	0	448												
#record		EldSleep01_036	N	16906	16962	0	0	595												
#record		EldSleep01_037	N	18432	15300	0	0	461												
#record		EldSleep01_038	N	17026	14665	0	0	539												
#record		EldSleep01_039	N	15846	17048	0	0	483												
#record		EldSleep01_040	N	17879	15883	0	0	427												
#record		EldSleep01_041	N	19090	16871	0	0	511												
#record		EldSleep01_042	N	16912	18302	0	0	497												
#record		EldSleep01_043	N	19435	16210	0	0	560												
#record		EldSleep01_044	N	21373	11296	0	0	546												
#record		EldSleep01_045	N	19491	14690	0	0	350												
#record		EldSleep01_046	N	17969	18409	0	0	497												
#record		EldSleep01_047	N	21233	12922	0	0	532												
#record		EldSleep01_048	N	20170	14878	0	0	476												
#record		EldSleep01_049	N	20442	14280	0	0	462												
#record		EldSleep01_050	N	17948	17457	0	0	427												
#record		EldSleep01_051	N	20618	17857	840	367	8												
#record		EldSleep01_052	N	20986	16218	316	716	44												
#record		EldSleep01_053	N	18828	19517	288	780	-63												
#record		EldSleep01_054	N	20493	19145	248	690	-64												
#record		FLOWER1	N	9036	13222	0	0	431												
#record		FLOWER2	N	8627	13987	0	0	431												
#record		FLOWER3	N	8362	14519	0	0	431												
#record		FLOWER4	N	8291	15206	0	0	431												
#record		FLOWER5	N	14515	15857	0	0	431												
#record		FLOWER6	N	14349	14630	0	0	431												
#record		FLOWER7	N	14354	14028	0	0	431												
#record		FLOWER8	N	18075	13944	0	0	431												
#record		FLOWER9	N	19294	15261	0	0	431												
#record		FLOWER10	N	18483	14840	0	0	431												
#record		HERB1	N	13732	14051	0	0	431												
#record		HERB2	N	18030	15413	0	0	431												
#record		WOOD8	N	14827	14389	0	0	381												
#record		WOOD9	N	19011	14345	0	0	431												
#record		MUSHROOM8	N	13857	16193	0	0	431												
#record		MUSHROOM9	N	19468	13882	0	0	431												
#record		EldSleep01P01	N	19577	18212	1948	751	39												
#record		EldSleep01P02	N	11112	11644	471	5154	146												
#record		EldSleep01Guard01	N	10592	9263	0	0	20												
#record		EldSleep01Guard02	N	12930	13962	0	0	13												
#record		EldSleep01_H1_01	N	11907	7607	0	0	55												
#record		EldSleep01_H1_02	N	12031	11520	0	0	47												
#record		EldSleep01_H1_03	N	8467	13172	0	0	13												
#record		EldSleep01_H1_04	N	7837	16634	0	0	13												
#record		EldSleep01_H1_05	N	15580	11318	0	0	41												
#record		EldSleep01_H1_06	N	18462	12847	0	0	27												
#record		EldSleep01_H2_01	N	13029	7653	0	0	48												
#record		EldSleep01_H2_02	N	10662	12362	0	0	33												
#record		EldSleep01_H2_03	N	9288	13364	0	0	13												
#record		EldSleep01_H2_04	N	8935	16453	0	0	34												
#record		EldSleep01_H2_05	N	14769	9844	0	0	27												
#record		EldSleep01_H2_06	N	15361	17270	0	0	13												
#record		EldSleep01_H3_01	N	12571	7130	0	0	55												
#record		EldSleep01_H3_02	N	11714	11918	0	0	33												
#record		EldSleep01_H3_03	N	9120	14179	0	0	13												
#record		EldSleep01_H3_04	N	9298	17476	0	0	13												
#record		EldSleep01_H3_05	N	18298	9833	0	0	27												
#record		EldSleep01_H3_06	N	17957	15271	0	0	34												
#record		EldSleep01_H4_01	N	12539	8204	0	0	13												
#record		EldSleep01_H4_02	N	10602	11390	0	0	33												
#record		EldSleep01_H4_03	N	8216	14312	0	0	41												
#record		EldSleep01_H4_04	N	8568	17656	0	0	41												
#record		EldSleep01_H4_05	N	18606	11205	0	0	20												
#record		EldSleep01_H4_06	N	16787	17242	0	0	20												
																				
																				
																				
#table	MobRegen																			
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base							
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta				
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD			
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4			
#record		EldSleep01_001	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_001	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_002	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_002	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_003	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_003	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_004	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_004	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_005	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_005	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_006	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_006	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_007	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_007	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_008	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_008	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_009	ElvenTree	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_009	ElvenTree	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_010	Shylph	1	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_010	Shylph	2	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_011	Shylph	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_012	Shylph	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_013	Shylph	6	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_014	Shylph	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_015	Shylph	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_016	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_017	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
#record		EldSleep01_018	ElvenTree	3	0	19	13	26	-6	13	-3	16	8	22	10	26	0			
