;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		KDGold_1_Mine01	N	6591	5660	0	0	200										
#record		KDGold_1_Mine02	N	6397	5967	0	0	200										
#record		KDGold_1_Mine03	N	6420	6361	0	0	200										
#record		KDGold_1_Mine04	N	6815	6546	0	0	200										
#record		KDGold_1_Mob01	N	6751	5633	0	0	200										
#record		KDGold_1_Mob02	N	6387	5793	0	0	200										
#record		KDGold_1_Mob03	Y	6360	6209	0	0	200										
#record		KDGold_1_Mob04	N	6567	6568	0	0	200										
#record		KDGold_2_Mine01	N	5338	5567	175	111	-104										
#record		KDGold_2_Mine02	N	8058	6164	259	149	-91										
#record		KDGold_2_Mine03	N	6604	4726	270	102	0										
#record		KDGold_2_Mine04	N	7518	4929	256	150	-42										
#record		KDGold_2_Mine05	N	5857	4947	297	152	37										
#record		KDGold_2_Mine07	N	8069	5485	307	163	-87										
#record		KDGold_2_Mine08	N	7959	6808	264	149	-108										
#record		KDGold_2_Mine09	N	6803	7380	242	64	0										
#record		KDGold_2_Mine10	N	5848	7206	260	152	-29										
#record		KDGold_2_Mine11	N	5400	6758	239	111	-69										
#record		KDGold_2_Mob01	N	5354	6568	0	0	170										
#record		KDGold_2_Mob02	N	5345	5562	0	0	170										
#record		KDGold_2_Mob03	N	7624	5068	0	0	170										
#record		KDGold_2_Mob04	Y	7127	4730	0	0	171										
#record		KDGold_2_Mob05	N	8035	6002	0	0	170										
#record		KDGold_2_Mob06	Y	5776	7186	0	0	200										
#record		KDGold_2_Mob07	Y	8028	6545	0	0	200										
#record		KDGold_2_Mob08	Y	5586	5170	0	0	200										
#record		KDGold_2_Mob09	Y	6308	7399	0	0	185										
#record		KDGold_2_Mob10	Y	6143	4781	0	0	200										
#record		KDGold_2_Mob11	Y	8064	5439	0	0	200										
#record		KDGold_2_Mob12	N	7799	7052	0	0	170										
#record		KDGold_3_Mine01	N	5930	3923	300	176	25										
#record		KDGold_3_Mine02	N	7993	4034	297	167	-21										
#record		KDGold_3_Mine03	N	8749	4969	216	97	-71										
#record		KDGold_3_Mine04	N	8884	5735	316	140	-91										
#record		KDGold_3_Mine05	N	8886	6556	288	154	107										
#record		KDGold_3_Mine06	N	8783	7213	275	192	60										
#record		KDGold_3_Mine07	N	8373	7610	303	92	16										
#record		KDGold_3_Mine08	N	6720	3686	310	104	0										
#record		KDGold_3_Mine09	N	6095	8170	285	113	-9										
#record		KDGold_3_Mine10	N	7362	7920	306	134	38										
#record		KDGold_3_Mine11	N	5215	7812	264	150	-36										
#record		KDGold_3_Mine12	N	4807	7353	285	185	-54										
#record		KDGold_3_Mine13	N	4576	5815	304	134	87										
#record		KDGold_3_Mine14	N	4650	4977	300	200	60										
#record		KDGold_3_Mine15	N	7393	3872	285	185	-18										
#record		KDGold_3_Mob01	N	8899	5416	0	0	200										
#record		KDGold_3_Mob02	N	8965	6763	0	0	284										
#record		KDGold_3_Mob03	Y	7478	3901	0	0	264										
#record		KDGold_3_Mob04	Y	5913	3894	0	0	250										
#record		KDGold_3_Mob05	Y	7130	8109	0	0	201										
#record		KDGold_3_Mob06	N	7569	7808	0	0	200										
#record		KDGold_3_Mob07	N	5551	8050	0	0	185										
#record		KDGold_3_Mob08	N	8426	4299	0	0	200										
#record		KDGold_3_Mob09	N	4582	5867	0	0	200										
#record		KDGold_3_Mob10	Y	8844	6079	0	0	257										
#record		KDGold_3_Mob11	Y	4552	5333	0	0	300										
#record		KDGold_3_Mob12	Y	5074	7755	0	0	222										
#record		KDGold_3_Mob13	N	4764	4777	0	0	200										
#record		KDGold_3_Mob14	N	4762	7366	0	0	200										
#record		KDGold_3_Mob15	N	6672	8259	0	0	157										
#record		KDGold_4_Mine01	N	10414	5224	300	200	-74										
#record		KDGold_4_Mine02	N	10471	6551	300	200	82										
#record		KDGold_4_Mine03	N	10057	7289	300	200	66										
#record		KDGold_4_Mine04	N	9753	7916	300	200	56										
#record		KDGold_4_Mine05	N	7257	9027	298	167	34										
#record		KDGold_4_Mine06	N	6000	9145	300	200	-7										
#record		KDGold_4_Mine07	N	5031	8922	300	200	-2										
#record		KDGold_4_Mine08	N	4538	8758	300	200	-32										
#record		KDGold_4_Mine09	N	4225	8264	305	147	-39										
#record		KDGold_4_Mine10	N	3377	6792	300	200	91										
#record		KDGold_4_Mine11	N	5461	2538	300	200	28										
#record		KDGold_4_Mine12	N	4424	3162	230	127	48										
#record		KDGold_4_Mine13	N	3706	7578	300	200	106										
#record		KDGold_4_Mine14	N	3476	4591	148	144	79										
#record		KDGold_4_Mine15	N	9392	8438	300	200	33										
#record		KDGold_4_Mine16	N	7591	2397	300	200	-14										
#record		KDGold_4_Mine17	N	3835	4022	300	200	61										
#record		KDGold_4_Mine18	N	9194	3471	293	65	-35										
#record		KDGold_4_Mine19	N	6061	2494	300	200	0										
#record		KDGold_4_Mine20	N	6728	2513	300	200	0										
#record		KDGold_4_Mine21	N	8247	2848	300	200	-29										
#record		KDGold_4_Mine22	N	9826	4029	300	200	-44										
#record		KDGold_4_Mine23	N	8444	8555	300	200	11										
#record		KDGold_4_Mine24	N	3779	7961	310	118	-51										
#record		KDGold_4_Mine25	N	3538	5822	301	167	87										
#record		KDGold_4_Mob01	Y	7326	2581	0	0	300										
#record		KDGold_4_Mob02	Y	10179	4608	0	0	300										
#record		KDGold_4_Mob03	Y	10352	7085	0	0	300										
#record		KDGold_4_Mob04	Y	5568	9049	0	0	257										
#record		KDGold_4_Mob05	N	7773	2647	0	0	200										
#record		KDGold_4_Mob06	N	5114	2744	0	0	200										
#record		KDGold_4_Mob07	N	9489	8191	0	0	200										
#record		KDGold_4_Mob08	N	8008	8690	0	0	200										
#record		KDGold_4_Mob09	N	3660	4588	0	0	200										
#record		KDGold_4_Mob10	N	3485	6409	0	0	200										
#record		KDGold_4_Mob11	Y	7656	8801	0	0	215										
#record		KDGold_4_Mob12	Y	3554	5193	0	0	229										
#record		KDGold_4_Mob13	Y	3501	6890	0	0	300										
#record		KDGold_4_Mob14	Y	4881	3012	0	0	300										
#record		KDGold_4_Mob15	N	9214	3620	0	0	200										
#record		KDGold_4_Mob16	Y	8909	3282	0	0	208										
#record		KDGold_4_Mob17	Y	9102	8528	0	0	300										
#record		KDGold_4_Mob18	N	10608	5886	0	0	400										
#record		KDGold_4_Mob19	N	4118	8793	0	0	352										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
#record		KDGold_1_Mine01	KQ_Core01	2	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mine02	KQ_Core02	2	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mine03	KQ_Core03	2	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mine04	KQ_Core04	2	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mob01	KQ_G_TombRaider	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mob02	KQ_G_JewelKebing	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mob03	KQ_G_Magebook	4	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_1_Mob04	KQ_G_TombRaider	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine01	KQ_Core01	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine02	KQ_Core02	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine03	KQ_Core03	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine04	KQ_Core04	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine05	KQ_Core01	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine07	KQ_Core02	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine08	KQ_Core03	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
#record		KDGold_2_Mine09	KQ_Core04	3	0	9	1	15	-4	5	-2	8	0	10	2	13	4	
