;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		PsyIn_001	N	10762	15845	0	0	52										
#record		PsyIn_002	N	10350	15839	0	0	45										
#record		PsyIn_003	N	9894	16157	0	0	31										
#record		PsyIn_004	N	12965	15843	0	0	59										
#record		PsyIn_005	N	13361	15833	0	0	52										
#record		PsyIn_006	N	13872	16155	0	0	38										
#record		PsyIn_007	N	12075	16447	0	0	94										
#record		PsyIn_008	N	11678	16850	0	0	115										
#record		PsyIn_009	N	12389	16854	0	0	66										
#record		PsyIn_010	N	10681	13874	0	0	150										
#record		PsyIn_012	N	11108	13869	0	0	143										
#record		PsyIn_013	N	12747	13901	0	0	157										
#record		PsyIn_015	N	13108	13891	0	0	143										
#record		PsyIn_016	N	10099	15133	0	0	220										
#record		PsyIn_017	N	10498	14907	0	0	220										
#record		PsyIn_018	N	10222	14620	0	0	220										
#record		PsyIn_020	N	10020	13777	0	0	122										
#record		PsyIn_022	N	10025	13326	0	0	200										
#record		PsyIn_023	N	13584	15125	0	0	220										
#record		PsyIn_025	N	13237	14826	0	0	220										
#record		PsyIn_026	N	13625	14648	0	0	241										
#record		PsyIn_027	N	13691	13829	0	0	129										
#record		PsyIn_029	N	13701	13336	0	0	171										
#record		PsyIn_030	N	10166	16887	0	0	200										
#record		PsyIn_031	N	10604	16892	0	0	192										
#record		PsyIn_032	N	10382	16626	0	0	242										
#record		PsyIn_033	N	13160	16944	0	0	192										
#record		PsyIn_034	N	13593	16951	0	0	199										
#record		PsyIn_035	N	13375	16640	0	0	256										
#record		PsyIn_036	N	11876	17621	0	0	256										
#record		PsyIn_038	N	12651	17918	0	0	200										
#record		PsyIn_039	N	13252	17900	0	0	200										
#record		PsyIn_040	N	13400	18451	0	0	200										
#record		PsyIn_041	N	13145	18937	0	0	200										
#record		PsyIn_043	N	11131	17913	0	0	200										
#record		PsyIn_044	N	10572	17905	0	0	200										
#record		PsyIn_045	N	10372	18422	0	0	200										
#record		PsyIn_046	N	10611	18933	0	0	200										
#record		PsyIn_047	N	11167	18948	0	0	200										
#record		PsyIn_050	N	12562	18979	0	0	200										
#record		PsyIn_051	N	11877	19163	0	0	192										
#record		PsyIn_052	N	12394	19954	0	0	200										
#record		PsyIn_054	N	13071	19941	0	0	200										
#record		PsyIn_055	N	13690	19925	0	0	200										
#record		PsyIn_056	N	14349	19824	0	0	270										
#record		PsyIn_057	N	14374	19125	0	0	200										
#record		PsyIn_058	N	14380	18577	0	0	200										
#record		PsyIn_059	N	14386	17833	0	0	200										
#record		PsyIn_060	N	14392	17274	0	0	200										
#record		PsyIn_062	N	14414	16767	0	0	200										
#record		PsyIn_063	N	14437	16259	0	0	200										
#record		PsyIn_064	N	11350	19923	0	0	200										
#record		PsyIn_066	N	10721	19916	0	0	200										
#record		PsyIn_067	N	10146	19882	0	0	200										
#record		PsyIn_068	N	9437	19796	0	0	284										
#record		PsyIn_069	N	9407	19162	0	0	200										
#record		PsyIn_070	N	9413	18647	0	0	200										
#record		PsyIn_071	N	9390	17765	0	0	200										
#record		PsyIn_072	N	9401	17269	0	0	200										
#record		PsyIn_074	N	9413	16757	0	0	200										
#record		PsyIn_075	N	9401	16250	0	0	200										
#record		PsyIn_076	N	15717	18491	0	0	164										
#record		PsyIn_077	N	15227	18869	0	0	214										
#record		PsyIn_078	N	16925	18482	0	0	200										
#record		PsyIn_080	N	17897	18467	0	0	200										
#record		PsyIn_081	N	8488	18879	0	0	213										
#record		PsyIn_082	N	7998	18471	0	0	178										
#record		PsyIn_083	N	6773	18486	0	0	200										
#record		PsyIn_085	N	5801	18471	0	0	200										
#record		PsyIn_HERO01	N	20113	18459	0	0	100										
#record		PsyIn_HERO02	N	3585	18506	0	0	100										
#record		PresentBox01	N	23376	21219	0	0	164										
#record		PresentBox02	N	387	21251	0	0	192										
#record		PsyOut_MINE1	N	21320	20187	0	0	166										
#record		PsyOut_MINE2	N	22580	20090	0	0	201										
#record		PsyOut_MINE3	N	22201	19892	0	0	194										
#record		PsyOut_MINE4	N	21427	19903	0	0	152										
#record		PsyOut_MINE5	N	22964	20104	0	0	180										
#record		PsyOut_MINE6	N	1326	19618	0	0	173										
#record		PsyOut_MINE7	N	1266	18255	0	0	159										
#record		PsyOut_MINE8	N	1621	19814	0	0	187										
#record		PsyOut_MINE9	N	1155	19336	0	0	159										
#record		PsyOut_MINE10	N	1242	18615	0	0	173										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
#record		PsyIn_001	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_002	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_003	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_004	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_005	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_006	Psy_Wraith	1	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_007	Psy_Wraith	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_008	Psy_Wraith	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_009	Psy_Wraith	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_010	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_012	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_013	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_015	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_016	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_017	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_018	IncubusG	3	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_020	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_022	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_023	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_025	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_026	IncubusG	3	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_027	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_029	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_030	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_031	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_032	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_033	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_034	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_035	IncubusG	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_036	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_038	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_039	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_040	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_041	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_043	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_044	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_045	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
#record		PsyIn_046	Psy_Statue	2	0	25	17	34	-8	17	-4	22	10	29	13	34	0	
