;	Shine Monster Regeneration Table			V0.3															
;	Monster Group																		
#ignore	\o042																		
#exchange	#	\x20																	
																			
#table	MobRegenGroup																		
;		GroupID	Family	Regen Region															
;			Y/N	X	Y	X	Y	Range/Degree											
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD											
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree											
#record		RouCos02_001	N	17322	13115	0	0	300											
#record		RouCos02_002	N	16848	13510	0	0	300											
#record		RouCos02_003	N	16899	14112	0	0	300											
#record		RouCos02_004	N	17041	14694	0	0	300											
#record		RouCos02_005	N	16900	12728	0	0	300											
#record		RouCos02_006	N	16417	13138	0	0	300											
#record		RouCos02_009	N	16279	13655	0	0	300											
#record		RouCos02_010	N	16317	14214	0	0	300											
#record		RouCos02_011	N	15941	14672	0	0	300											
#record		RouCos02_012	N	16498	14749	0	0	300											
#record		RouCos02_021	N	16546	12207	0	0	300											
#record		RouCos02_022	N	16339	11660	0	0	300											
#record		RouCos02_023	N	16149	12596	0	0	300											
#record		RouCos02_024	N	15573	13164	0	0	300											
#record		RouCos02_025	N	15547	13727	0	0	300											
#record		RouCos02_026	N	15275	12659	0	0	300											
#record		RouCos02_027	N	15916	12079	0	0	300											
#record		RouCos02_028	N	15826	13057	0	0	300											
#record		RouCos02_032	N	15472	14334	0	0	300											
#record		RouCos02_041	N	15665	10707	0	0	300											
#record		RouCos02_042	N	15379	10307	0	0	300											
#record		RouCos02_043	N	15009	10845	0	0	300											
#record		RouCos02_044	N	14517	11694	0	0	300											
#record		RouCos02_045	N	15429	11151	0	0	300											
#record		RouCos02_046	N	15937	11141	0	0	300											
#record		RouCos02_047	N	14890	11996	0	0	300											
#record		RouCos02_048	N	15608	11595	0	0	300											
#record		RouCos02_049	N	14817	11374	0	0	300											
#record		RouCos02_061	N	13907	14448	0	0	300											
#record		RouCos02_062	N	14113	13570	0	0	300											
#record		RouCos02_063	N	13185	15221	0	0	300											
#record		RouCos02_064	N	13692	13223	0	0	300											
#record		RouCos02_065	N	13543	14072	0	0	300											
#record		RouCos02_066	N	15508	15914	0	0	300											
#record		RouCos02_067	N	14661	16327	0	0	300											
#record		RouCos02_068	N	13754	15049	0	0	300											
#record		RouCos02_069	N	15099	15539	0	0	300											
#record		RouCos02_070	N	14931	16869	0	0	300											
#record		RouCos02_077	N	14192	16886	0	0	300											
#record		RouCos02_078	N	13579	15571	0	0	300											
#record		RouCos02_079	N	13416	16025	0	0	300											
#record		RouCos02_081	N	14406	17444	0	0	300											
#record		RouCos02_082	N	12864	16224	0	0	300											
#record		RouCos02_083	N	12950	15663	0	0	300											
#record		RouCos02_084	N	12411	15173	0	0	300											
#record		RouCos02_085	N	11780	15739	0	0	300											
#record		RouCos02_086	N	13843	17704	0	0	300											
#record		RouCos02_087	N	13374	17929	0	0	300											
#record		RouCos02_088	N	13423	17139	0	0	300											
#record		RouCos02_089	N	11273	16064	0	0	300											
#record		RouCos02_090	N	12350	15943	0	0	300											
#record		RouCos02_098	N	12948	17420	0	0	300											
#record		RouCos02_101	N	12619	18310	0	0	300											
#record		RouCos02_102	N	12091	18412	0	0	300											
#record		RouCos02_103	N	11425	16885	0	0	300											
#record		RouCos02_104	N	11736	17974	0	0	300											
#record		RouCos02_105	N	11200	18346	0	0	300											
#record		RouCos02_106	N	11403	18876	0	0	300											
#record		RouCos02_107	N	10731	18772	0	0	300											
#record		RouCos02_108	N	11376	19691	0	0	300											
#record		RouCos02_109	N	10844	19580	0	0	300											
#record		RouCos02_110	N	10142	19200	0	0	300											
#record		RouCos02_111	N	11934	16711	0	0	300											
#record		RouCos02_117	N	12209	17755	0	0	300											
#record		RouCos02_121	N	15766	16998	0	0	300											
#record		RouCos02_122	N	16216	16121	0	0	300											
#record		RouCos02_123	N	17461	16224	0	0	300											
#record		RouCos02_124	N	16379	17239	0	0	300											
#record		RouCos02_125	N	16049	17648	0	0	300											
#record		RouCos02_126	N	15633	17541	0	0	300											
#record		RouCos02_127	N	16621	17908	0	0	300											
#record		RouCos02_128	N	16875	16020	0	0	300											
#record		RouCos02_129	N	17426	17336	0	0	300											
#record		RouCos02_130	N	16745	17280	0	0	300											
#record		RouCos02_141	N	17916	17574	0	0	300											
#record		RouCos02_142	N	17287	18002	0	0	300											
#record		RouCos02_143	N	17124	18550	0	0	300											
#record		RouCos02_144	N	18084	16248	0	0	300											
#record		RouCos02_145	N	19465	17406	0	0	300											
#record		RouCos02_146	N	19169	17842	0	0	300											
#record		RouCos02_147	N	18573	18161	0	0	300											
#record		RouCos02_148	N	18053	15667	0	0	300											
#record		RouCos02_149	N	18477	15960	0	0	300											
#record		RouCos02_150	N	19040	15677	0	0	300											
#record		RouCos02_151	N	17916	18341	0	0	300											
#record		RouCos02_152	N	17500	19020	0	0	300											
#record		RouCos02_153	N	18037	19033	0	0	300											
#record		RouCos02_154	N	19588	15763	0	0	300											
#record		RouCos02_161	N	20503	17508	0	0	300											
#record		RouCos02_162	N	20931	18113	0	0	300											
#record		RouCos02_163	N	20218	17975	0	0	300											
#record		RouCos02_164	N	20533	18583	0	0	300											
#record		RouCos02_165	N	20549	19179	0	0	300											
#record		RouCos02_166	N	19403	18547	0	0	300											
#record		RouCos02_167	N	19072	19856	0	0	300											
#record		RouCos02_168	N	18471	19575	0	0	300											
#record		RouCos02_169	N	21023	17315	0	0	300											
#record		RouCos02_170	N	18657	18949	0	0	300											
#record		RouCos02_171	N	18872	14947	0	0	300											
#record		RouCos02_172	N	19417	14747	0	0	300											
#record		RouCos02_173	N	20134	14414	0	0	300											
#record		RouCos02_174	N	21006	15082	0	0	300											
#record		RouCos02_175	N	19905	15080	0	0	300											
#record		RouCos02_176	N	18995	14266	0	0	300											
#record		RouCos02_177	N	21194	14572	0	0	300											
#record		RouCos02_178	N	21193	13920	0	0	300											
#record		RouCos02_179	N	19650	14086	0	0	300											
#record		RouCos02_181	N	18775	13364	0	0	300											
#record		RouCos02_182	N	20092	13385	0	0	300											
#record		RouCos02_183	N	21209	13070	0	0	300											
#record		RouCos02_184	N	20910	12560	0	0	300											
#record		RouCos02_185	N	19857	12176	0	0	300											
#record		RouCos02_186	N	19365	13163	0	0	300											
#record		RouCos02_187	N	18877	12771	0	0	300											
#record		RouCos02_188	N	18245	11755	0	0	300											
#record		RouCos02_189	N	19999	12780	0	0	300											
#record		RouCos02_190	N	20893	11946	0	0	300											
#record		RouCos02_191	N	19033	11874	0	0	300											
#record		RouCos02_192	N	19596	11636	0	0	300											
#record		RouCos02_193	N	19337	12447	0	0	300											
#record		RouCos02_194	N	18486	12308	0	0	300											
#record		RouCos02_195	N	20773	11349	0	0	300											
#record		RouCos02_201	N	13606	10472	0	0	300											
#record		RouCos02_202	N	13283	8356	0	0	300											
#record		RouCos02_203	N	13013	7617	0	0	300											
#record		RouCos02_204	N	13683	7956	0	0	300											
#record		RouCos02_205	N	13945	7458	0	0	300											
#record		RouCos02_206	N	13052	6829	0	0	300											
#record		RouCos02_207	N	13351	9733	0	0	300											
#record		RouCos02_208	N	12730	9760	0	0	300											
#record		RouCos02_209	N	13589	6959	0	0	300											
#record		RouCos02_210	N	12593	6842	0	0	300											
#record		RouCos02_211	N	12292	7744	0	0	300											
#record		RouCos02_212	N	12317	8829	0	0	300											
#record		RouCos02_213	N	12543	8264	0	0	300											
#record		RouCos02_221	N	11269	7208	0	0	300											
#record		RouCos02_222	N	11526	8779	0	0	300											
#record		RouCos02_223	N	11359	7765	0	0	300											
#record		RouCos02_224	N	10650	8499	0	0	300											
#record		RouCos02_225	N	10811	7922	0	0	300											
#record		RouCos02_226	N	10723	7060	0	0	300											
#record		RouCos02_227	N	11068	6532	0	0	300											
#record		RouCos02_228	N	10326	6646	0	0	300											
#record		RouCos02_229	N	9730	6598	0	0	300											
#record		RouCos02_230	N	12267	11031	0	0	300											
#record		RouCos02_231	N	12812	11022	0	0	300											
#record		RouCos02_232	N	12654	11591	0	0	300											
#record		RouCos02_233	N	12229	10536	0	0	300											
#record		RouCos02_234	N	12088	9919	0	0	300											
#record		RouCos02_238	N	11249	8393	0	0	300											
#record		RouCos02_240	N	11167	9334	0	0	300											
#record		RouCos02_241	N	10052	9077	0	0	300											
#record		RouCos02_242	N	11093	11223	0	0	300											
#record		RouCos02_243	N	11346	10693	0	0	300											
#record		RouCos02_244	N	11650	11265	0	0	300											
#record		RouCos02_245	N	11600	11877	0	0	300											
#record		RouCos02_246	N	11898	12374	0	0	300											
#record		RouCos02_247	N	12185	11965	0	0	300											
#record		RouCos02_248	N	10546	9979	0	0	300											
#record		RouCos02_249	N	10348	10461	0	0	300											
#record		RouCos02_250	N	9291	9565	0	0	300											
#record		RouCos02_251	N	9632	9218	0	0	300											
#record		RouCos02_261	N	8842	10240	0	0	300											
#record		RouCos02_262	N	9516	10804	0	0	300											
#record		RouCos02_263	N	9919	11798	0	0	300											
#record		RouCos02_264	N	10002	11249	0	0	300											
#record		RouCos02_265	N	9937	9775	0	0	300											
