;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		RouTemDn02_001	N	4840	2276	0	0	446										
#record		RouTemDn02_002	N	4427	3011	0	0	474										
#record		RouTemDn02_003	N	5688	2228	0	0	453										
#record		RouTemDn02_004	N	5203	3622	0	0	349										
#record		RouTemDn02_005	N	5981	3000	0	0	453										
#record		RouTemDn02_006	N	5617	4013	0	0	278										
#record		RouTemDn02_007	N	4779	4047	0	0	292										
#record		RouTemDn02_008	N	5189	4748	0	0	272										
#record		RouTemDn02_009	N	7134	2860	0	0	314										
#record		RouTemDn02_010	N	3243	2896	0	0	314										
#record		RouTemDn02_011	N	3746	4896	127	421	0										
#record		RouTemDn02_012	N	6652	4826	132	438	0										
#record		RouTemDn02_013	N	5190	5862	342	159	0										
#record		RouTemDn02_014	N	7282	5854	476	145	0										
#record		RouTemDn02_015	N	3165	5869	608	121	0										
#record		RouTemDn02_016	N	1596	5557	151	408	0										
#record		RouTemDn02_017	N	8787	5391	113	523	0										
#record		RouTemDn02_018	N	4595	6339	158	459	0										
#record		RouTemDn02_019	N	5794	6343	152	450	0										
#record		RouTemDn02_021	N	6176	7268	156	345	0										
#record		RouTemDn02_022	N	4995	7268	154	323	0										
#record		RouTemDn02_023	N	4203	7255	158	334	0										
#record		RouTemDn02_024	N	5458	7254	160	333	0										
#record		RouTemDn02_025	N	4591	8231	111	385	0										
#record		RouTemDn02_026	N	5773	8260	122	353	0										
#record		RouTemDn02_027	N	5192	9249	0	0	244										
#record		RouTemDn02_028	N	4650	9783	0	0	215										
#record		RouTemDn02_029	N	5762	9813	0	0	215										
#record		RouTemDn02_030	N	5197	8737	0	0	272										
#record		RouTemDn02_031	N	403	5058	0	0	181										
#record		RouTemDn02_032	N	1021	4642	0	0	167										
#record		RouTemDn02_033	N	1580	4268	0	0	167										
#record		RouTemDn02_034	N	1108	5085	0	0	167										
#record		RouTemDn02_035	N	875	4238	0	0	167										
#record		RouTemDn02_036	N	9323	4783	0	0	167										
#record		RouTemDn02_037	N	9919	4582	0	0	167										
#record		RouTemDn02_038	N	9403	4351	0	0	167										
#record		RouTemDn02_039	N	8808	4288	0	0	167										
#record		RouTemDn02_040	N	8804	3404	0	0	167										
#record		RouTemDn02_041	N	8923	2786	915	154	0										
#record		RouTemDn02_042	N	8787	1721	0	0	300										
#record		RouTemDn02_043	N	9669	1729	0	0	272										
#record		RouTemDn02_044	N	398	3664	134	345	0										
#record		RouTemDn02_045	N	1036	2845	0	0	335										
#record		RouTemDn02_046	N	1534	2835	0	0	405										
#record		RouTemDn02_047	N	679	1752	0	0	398										
#record		RouTemDn02_048	N	643	2261	0	0	363										
#record		RouTemDn02_049	N	9325	2227	577	215	0										
#record		RouTemDn02_050	N	10956	1900	0	0	349										
#record		Box01	N	10955	1887	0	0	362										
#record		Mine01	N	2185	5875	123	312	90										
#record		Mine02	N	5201	5008	331	51	0										
#record		Mine03	N	8455	5817	52	522	-89										
#record		Mine04	N	4603	7243	130	313	0										
#record		Mine05	N	5165	9745	161	355	89										
#record		Mine06	N	1304	2241	204	402	44										
#record		Mine07	N	9144	1434	610	94	0										
#record		RouTemDn02Guard01	N	5062	1211	0	0	11										
#record		RouTemDn02Guard02	N	5359	1211	0	0	11										
#record		RouTemDn02_C1_01	N	4247	10112	0	0	26										
#record		RouTemDn02_C1_02	N	8855	2149	0	0	47										
#record		RouTemDn02_C2_01	N	6195	8458	0	0	26										
#record		RouTemDn02_C2_02	N	11239	1434	0	0	47										
#record		RouTemDn02_C3_01	N	6190	10154	0	0	26										
#record		RouTemDn02_C3_02	N	11279	2050	0	0	47										
#record		RouTemDn02_C4_01	N	4209	8471	0	0	26										
#record		RouTemDn02_C4_02	N	9477	2083	0	0	47										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
#record		RouTemDn02_001	EarthSpiderA	6	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_002	EarthSpiderA	6	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_003	EarthSpiderA	6	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_004	EarthSpiderA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_005	EarthSpiderA	6	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_006	D_VampireBat	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_007	D_VampireBat	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_008	D_VampireBat	5	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_009	D_VampireBat	5	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_010	D_VampireBat	5	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_011	GoldenBatA	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_011	D_ArchMageBook	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_012	GoldenBatA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_012	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_013	GoldenBatA	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_013	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_014	GoldenBatA	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_014	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_015	GoldenBatA	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_015	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_016	GoldenBatA	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_016	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_017	GoldenBatA	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_017	D_ArchMageBook	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_018	GoldenBatA	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_018	D_ArchMageBook	1	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_019	GoldenBatA	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_019	D_ArchMageBook	1	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_021	D_FlyingStaff	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_022	D_FlyingStaff	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_023	D_FlyingStaff	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_024	D_FlyingStaff	4	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_025	D_FlyingStaff	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_026	RatmanKnightA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_027	RatmanKnightA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_028	RatmanKnightA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_029	RatmanKnightA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_030	RatmanKnightA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_031	SkeletonA	3	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_031	SkelArcherA	1	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
#record		RouTemDn02_032	SkeletonA	2	0	17	12	23	-6	12	-3	15	7	19	9	23	0	
