;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		RouVal01_001	N	14159	4170	0	0	300										
#record		RouVal01_002	N	11911	4615	0	0	300										
#record		RouVal01_003	N	11546	5734	0	0	300										
#record		RouVal01_004	N	10628	4838	0	0	300										
#record		RouVal01_005	N	12091	3962	0	0	300										
#record		RouVal01_006	N	10124	4614	0	0	300										
#record		RouVal01_007	N	14112	4731	0	0	300										
#record		RouVal01_008	N	14699	5491	0	0	300										
#record		RouVal01_009	N	15044	5987	0	0	300										
#record		RouVal01_010	N	11011	5396	0	0	300										
#record		RouVal01_011	N	14906	4398	0	0	300										
#record		RouVal01_012	N	15780	5965	0	0	300										
#record		RouVal01_013	N	15477	4355	0	0	300										
#record		RouVal01_014	N	10767	4190	0	0	300										
#record		RouVal01_015	N	11336	4563	0	0	300										
#record		RouVal01_016	N	11058	3772	0	0	300										
#record		RouVal01_017	N	16365	5808	0	0	300										
#record		RouVal01_018	N	15460	5342	0	0	300										
#record		RouVal01_019	N	15822	4906	0	0	300										
#record		RouVal01_020	N	10175	3663	0	0	300										
#record		RouVal01_021	N	18291	5864	0	0	300										
#record		RouVal01_022	N	8896	5543	0	0	300										
#record		RouVal01_023	N	8520	6055	0	0	300										
#record		RouVal01_024	N	9418	4281	0	0	300										
#record		RouVal01_025	N	9231	3710	0	0	300										
#record		RouVal01_026	N	8985	4777	0	0	300										
#record		RouVal01_027	N	16393	4387	0	0	300										
#record		RouVal01_028	N	16763	4933	0	0	300										
#record		RouVal01_029	N	17619	5836	0	0	300										
#record		RouVal01_030	N	17129	4530	0	0	300										
#record		RouVal01_031	N	17747	4515	0	0	300										
#record		RouVal01_032	N	17370	4045	0	0	300										
#record		RouVal01_033	N	18040	4011	0	0	300										
#record		RouVal01_034	N	18162	5288	0	0	300										
#record		RouVal01_035	N	18742	5511	0	0	300										
#record		RouVal01_036	N	7604	5178	0	0	300										
#record		RouVal01_037	N	8031	4442	0	0	300										
#record		RouVal01_038	N	8527	3379	0	0	300										
#record		RouVal01_039	N	8480	4207	0	0	300										
#record		RouVal01_040	N	8007	5282	0	0	300										
#record		RouVal01_041	N	18614	4868	0	0	50										
#record		RouVal01_042	N	5849	3361	0	0	50										
#record		RouVal01_043	N	6244	3297	0	0	50										
#record		RouVal01_044	N	7502	4159	0	0	50										
#record		RouVal01_045	N	7235	2718	0	0	50										
#record		RouVal01_046	N	6628	2795	0	0	50										
#record		RouVal01_047	N	6414	3908	0	0	50										
#record		RouVal01_048	N	18928	3585	0	0	50										
#record		RouVal01_049	N	6686	4851	0	0	50										
#record		RouVal01_050	N	19487	4186	0	0	50										
#record		RouVal01_051	N	7353	3204	0	0	50										
#record		RouVal01_052	N	19658	3731	0	0	50										
#record		RouVal01_053	N	19483	3361	0	0	50										
#record		RouVal01_054	N	18458	3842	0	0	50										
#record		RouVal01_055	N	7681	3569	0	0	50										
#record		RouVal01_056	N	6309	4490	0	0	50										
#record		RouVal01_057	N	19071	3932	0	0	50										
#record		RouVal01_058	N	7771	2884	0	0	50										
#record		RouVal01_059	N	19100	4573	0	0	50										
#record		RouVal01_060	N	5943	3847	0	0	50										
#record		RouVal01_061	N	13989	11497	0	0	300										
#record		RouVal01_062	N	12419	10129	0	0	300										
#record		RouVal01_063	N	12023	11413	0	0	300										
#record		RouVal01_064	N	11826	13187	0	0	300										
#record		RouVal01_065	N	12082	13800	0	0	300										
#record		RouVal01_066	N	13307	13555	0	0	300										
#record		RouVal01_067	N	13743	12712	0	0	300										
#record		RouVal01_068	N	13544	10752	0	0	300										
#record		RouVal01_069	N	14022	9847	0	0	300										
#record		RouVal01_070	N	11519	12607	0	0	300										
#record		RouVal01_071	N	11686	14314	0	0	300										
#record		RouVal01_072	N	14865	11134	0	0	300										
#record		RouVal01_073	N	13667	13954	0	0	300										
#record		RouVal01_074	N	14262	10662	0	0	300										
#record		RouVal01_075	N	14159	13228	0	0	300										
#record		RouVal01_076	N	11279	13569	0	0	300										
#record		RouVal01_077	N	10872	12801	0	0	300										
#record		RouVal01_078	N	11871	10634	0	0	300										
#record		RouVal01_079	N	11373	11104	0	0	300										
#record		RouVal01_080	N	14538	9953	0	0	300										
#record		RouVal01_081	N	11910	10101	0	0	50										
#record		RouVal01_082	N	10452	11208	0	0	50										
#record		RouVal01_083	N	10788	11029	0	0	50										
#record		RouVal01_084	N	15104	10000	0	0	50										
#record		RouVal01_085	N	14895	10555	0	0	50										
#record		RouVal01_086	N	15731	10745	0	0	50										
#record		RouVal01_087	N	16554	11666	0	0	50										
#record		RouVal01_088	N	13879	14466	0	0	50										
#record		RouVal01_089	N	10606	14079	0	0	50										
#record		RouVal01_090	N	14115	13708	0	0	50										
#record		RouVal01_091	N	16531	11148	0	0	50										
#record		RouVal01_092	N	10840	13332	0	0	50										
#record		RouVal01_093	N	10060	13934	0	0	50										
#record		RouVal01_094	N	14394	14605	0	0	50										
#record		RouVal01_095	N	9783	13264	0	0	50										
#record		RouVal01_096	N	10349	13211	0	0	50										
#record		RouVal01_097	N	15968	11313	0	0	50										
#record		RouVal01_098	N	9649	12623	0	0	50										
#record		RouVal01_099	N	11318	10160	0	0	50										
#record		RouVal01_100	N	10179	12632	0	0	50										
#record		RouVal01_101	N	12910	17507	0	0	300										
#record		RouVal01_102	N	14125	17509	0	0	300										
#record		RouVal01_103	N	13473	17074	0	0	300										
#record		RouVal01_104	N	12665	18200	0	0	300										
#record		RouVal01_105	N	12337	19439	0	0	300										
#record		RouVal01_106	N	17905	17464	0	0	300										
#record		RouVal01_107	N	18025	18108	0	0	300										
#record		RouVal01_108	N	17644	19318	0	0	300										
#record		RouVal01_109	N	17420	20158	0	0	300										
#record		RouVal01_110	N	17358	20858	0	0	300										
#record		RouVal01_111	N	17909	20941	0	0	300										
#record		RouVal01_112	N	12840	18953	0	0	300										
#record		RouVal01_113	N	19161	18738	0	0	300										
#record		RouVal01_114	N	18112	19923	0	0	300										
#record		RouVal01_115	N	18681	18922	0	0	300										
#record		RouVal01_116	N	13823	18019	0	0	300										
#record		RouVal01_117	N	13451	19032	0	0	300										
#record		RouVal01_118	N	13378	19628	0	0	300										
#record		RouVal01_119	N	13926	20915	0	0	300										
#record		RouVal01_120	N	13226	20807	0	0	300										
#record		RouVal01_121	N	10440	20164	0	0	300										
#record		RouVal01_122	N	19299	20851	0	0	300										
#record		RouVal01_123	N	8520	17621	0	0	300										
#record		RouVal01_124	N	9804	17733	0	0	300										
#record		RouVal01_125	N	9268	19716	0	0	300										
#record		RouVal01_126	N	9085	17910	0	0	300										
#record		RouVal01_127	N	19330	19480	0	0	300										
#record		RouVal01_128	N	9897	19724	0	0	300										
#record		RouVal01_129	N	19889	20076	0	0	300										
#record		RouVal01_130	N	18764	20519	0	0	300										
#record		RouVal01_131	N	5649	19925	0	0	50										
#record		RouVal01_132	N	5869	20560	0	0	50										
#record		RouVal01_133	N	5244	21179	0	0	50										
#record		RouVal01_134	N	5962	21164	0	0	50										
#record		RouVal01_135	N	6853	19972	0	0	50										
#record		RouVal01_136	N	6306	19382	0	0	50										
#record		RouVal01_137	N	6461	20585	0	0	50										
#record		RouVal01_138	N	5365	20496	0	0	50										
#record		RouVal01_139	N	7275	18411	0	0	50										
#record		RouVal01_140	N	7869	18876	0	0	50										
#record		RouVal01_141	N	9944	20689	0	0	50										
#record		RouVal01_142	N	8801	16849	0	0	50										
#record		RouVal01_143	N	19995	21173	0	0	50										
#record		RouVal01_144	N	20636	20431	0	0	50										
#record		RouVal01_145	N	20595	21445	0	0	50										
#record		RouVal01_146	N	20974	20803	0	0	50										
#record		RouVal01_147	N	19890	19328	0	0	50										
#record		RouVal01_148	N	18778	21031	0	0	50										
#record		RouVal01_149	N	20301	19821	0	0	50										
#record		RouVal01_150	N	19438	21242	0	0	50										
#record		RouVal01_151	N	6805	14895	0	0	300										
#record		RouVal01_152	N	6412	15241	0	0	300										
#record		RouVal01_153	N	4620	13411	0	0	300										
#record		RouVal01_154	N	4501	12908	0	0	300										
#record		RouVal01_155	N	18446	14657	0	0	300										
#record		RouVal01_156	N	18332	13955	0	0	300										
#record		RouVal01_157	N	18760	14009	0	0	300										
#record		RouVal01_158	N	19527	15185	0	0	300										
#record		RouVal01_159	N	18915	15017	0	0	300										
#record		RouVal01_160	N	5942	15047	0	0	300										
#record		RouVal01_161	N	4830	12033	0	0	300										
#record		RouVal01_162	N	4496	10371	0	0	300										
#record		RouVal01_163	N	4526	11415	0	0	300										
#record		RouVal01_164	N	5012	12567	0	0	300										
#record		RouVal01_165	N	4680	9802	0	0	300										
#record		RouVal01_166	N	20288	12690	0	0	300										
#record		RouVal01_167	N	20458	13145	0	0	300										
