;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		UrgFire01_001A	N	3660	21658	0	0	350										
#record		UrgFire01_002A	N	4403	21942	0	0	350										
#record		UrgFire01_003A	N	6068	22830	0	0	350										
#record		UrgFire01_004A	N	6822	19717	0	0	350										
#record		UrgFire01_005A	N	6573	20469	0	0	350										
#record		UrgFire01_006A	N	13126	14539	0	0	350										
#record		UrgFire01_007A	N	13214	16828	0	0	350										
#record		UrgFire01_008A	N	14409	19946	0	0	350										
#record		UrgFire01_009A	N	14063	18122	0	0	350										
#record		UrgFire01_010A	N	13135	19020	0	0	350										
#record		UrgFire01_011A	N	18699	20843	0	0	350										
#record		UrgFire01_012A	N	18839	13378	0	0	350										
#record		UrgFire01_013A	N	17435	18241	0	0	350										
#record		UrgFire01_014A	N	17705	20405	0	0	350										
#record		UrgFire01_015A	N	17754	21233	0	0	350										
#record		UrgFire01_016A	N	19124	12341	0	0	350										
#record		UrgFire01_017A	N	17409	16992	0	0	350										
#record		UrgFire01_018A	N	15855	11195	0	0	350										
#record		UrgFire01_019A	N	17011	14927	0	0	350										
#record		UrgFire01_020A	N	18436	12767	0	0	350										
#record		UrgFire01_021A	N	15375	5626	0	0	350										
#record		UrgFire01_022A	N	16119	3547	0	0	350										
#record		UrgFire01_023A	N	14973	2718	0	0	350										
#record		UrgFire01_024A	N	16240	1991	0	0	350										
#record		UrgFire01_025A	N	14204	4767	0	0	350										
#record		UrgFire01_026A	N	20435	1484	0	0	350										
#record		UrgFire01_027A	N	20880	2530	0	0	350										
#record		UrgFire01_028A	N	19613	3030	0	0	350										
#record		UrgFire01_029A	N	18278	2734	0	0	350										
#record		UrgFire01_030A	N	19270	1690	0	0	350										
#record		UrgFire01_031A	N	18671	7430	0	0	350										
#record		UrgFire01_032A	N	16427	8618	0	0	350										
#record		UrgFire01_033A	N	16816	12747	0	0	350										
#record		UrgFire01_034A	N	16770	7672	0	0	350										
#record		UrgFire01_035A	N	19694	7987	0	0	350										
#record		UrgFire01_036A	N	20597	10365	0	0	350										
#record		UrgFire01_037A	N	20719	11980	0	0	350										
#record		UrgFire01_038A	N	24080	9345	0	0	350										
#record		UrgFire01_039A	N	22888	9364	0	0	350										
#record		UrgFire01_040A	N	22931	10683	0	0	350										
#record		UrgFire01_041A	N	23930	14966	0	0	350										
#record		UrgFire01_042A	N	19260	15222	0	0	350										
#record		UrgFire01_043A	N	19216	16141	0	0	350										
#record		UrgFire01_044A	N	19901	14485	0	0	350										
#record		UrgFire01_045A	N	23821	16193	0	0	350										
#record		UrgFire01_046A	N	22825	19058	0	0	350										
#record		UrgFire01_047A	N	23382	18323	0	0	350										
#record		UrgFire01_048A	N	20302	19945	0	0	350										
#record		UrgFire01_049A	N	20044	22714	0	0	350										
#record		UrgFire01_050A	N	21752	22998	0	0	350										
#record		UrgFire01_001B	N	8038	22341	0	0	350										
#record		UrgFire01_002B	N	8429	23618	0	0	350										
#record		UrgFire01_003B	N	6361	18862	0	0	350										
#record		UrgFire01_004B	N	5466	23085	0	0	350										
#record		UrgFire01_005B	N	5877	21630	0	0	350										
#record		UrgFire01_006B	N	11434	20897	0	0	350										
#record		UrgFire01_007B	N	10574	22936	0	0	350										
#record		UrgFire01_008B	N	13130	20486	0	0	350										
#record		UrgFire01_009B	N	11354	23297	0	0	350										
#record		UrgFire01_010B	N	12573	21182	0	0	350										
#record		UrgFire01_011B	N	9571	18265	0	0	350										
#record		UrgFire01_012B	N	10180	16853	0	0	350										
#record		UrgFire01_013B	N	7023	15999	0	0	350										
#record		UrgFire01_014B	N	8539	15663	0	0	350										
#record		UrgFire01_015B	N	7822	15093	0	0	350										
#record		UrgFire01_016B	N	11054	14514	0	0	350										
#record		UrgFire01_017B	N	4463	16790	0	0	350										
#record		UrgFire01_018B	N	3044	16134	0	0	350										
#record		UrgFire01_019B	N	10380	13329	0	0	350										
#record		UrgFire01_020B	N	3688	17649	0	0	350										
#record		UrgFire01_021B	N	2700	16903	0	0	350										
#record		UrgFire01_022B	N	11763	12008	0	0	350										
#record		UrgFire01_023B	N	12392	8710	0	0	350										
#record		UrgFire01_024B	N	12304	9356	0	0	350										
#record		UrgFire01_025B	N	3305	18554	0	0	350										
#record		UrgFire01_026B	N	4765	14263	0	0	350										
#record		UrgFire01_027B	N	5920	13307	0	0	350										
#record		UrgFire01_028B	N	3713	14377	0	0	350										
#record		UrgFire01_029B	N	3775	13061	0	0	350										
#record		UrgFire01_030B	N	2678	11505	0	0	350										
#record		UrgFire01_031B	N	7157	10165	0	0	350										
#record		UrgFire01_032B	N	6232	10572	0	0	350										
#record		UrgFire01_033B	N	8210	12103	0	0	350										
#record		UrgFire01_034B	N	4377	10780	0	0	350										
#record		UrgFire01_035B	N	7074	11776	0	0	350										
#record		UrgFire01_036B	N	9717	10411	0	0	350										
#record		UrgFire01_037B	N	8655	9749	0	0	350										
#record		UrgFire01_038B	N	10606	7695	0	0	350										
#record		UrgFire01_039B	N	10045	8237	0	0	350										
#record		UrgFire01_040B	N	10429	9042	0	0	350										
#record		UrgFire01_041B	N	6607	6744	0	0	350										
#record		UrgFire01_042B	N	5155	6862	0	0	350										
#record		UrgFire01_043B	N	5870	6270	0	0	350										
#record		UrgFire01_044B	N	9245	5115	188	654	0										
#record		UrgFire01_045B	N	8998	2884	177	603	5										
#record		UrgFire01_046B	N	4866	3464	475	197	0										
#record		UrgFire01_047B	N	3399	4686	0	0	350										
#record		UrgFire01_048B	N	3897	3754	0	0	350										
#record		UrgFire01_049B	N	3876	6054	60	762	14										
#record		UrgFire01_050B	N	4390	3460	604	195	0										
#record		FLOWER1	N	9367	18066	0	0	741										
#record		FLOWER2	N	9989	17518	0	0	615										
#record		FLOWER3	N	9219	15150	0	0	482										
#record		FLOWER4	N	8462	14903	0	0	720										
#record		FLOWER5	N	8641	15216	0	0	580										
#record		FLOWER6	N	14032	13828	0	0	839										
#record		FLOWER7	N	13487	14771	0	0	622										
#record		FLOWER8	N	14030	16031	0	0	972										
#record		FLOWER9	N	14274	17398	0	0	1014										
#record		FLOWER10	N	13915	15541	0	0	804										
#record		HERB1	N	8724	14936	0	0	762										
#record		HERB2	N	14226	15277	0	0	713										
#record		WOOD8	N	9995	17548	0	0	664										
#record		WOOD9	N	13819	13449	0	0	699										
#record		MUSHROOM8	N	9262	18146	0	0	650										
#record		MUSHROOM9	N	14170	18041	0	0	776										
#record		P01	N	15074	11200	205	8383	0										
#record		P02	N	4608	12255	0	0	1785										
#record		UrgFire01Guard01	N	3668	23829	0	0	20										
#record		UrgFire01Guard02	N	14857	16465	0	0	13										
#record		UrgFire01Guard03	N	20336	20615	0	0	27										
#record		UrgFire01_h1_01	N	13777	17521	0	0	62										
#record		UrgFire01_h1_02	N	18799	13637	0	0	48										
#record		UrgFire01_h1_03	N	2299	16888	0	0	83										
#record		UrgFire01_h1_04	N	24366	9162	0	0	62										
#record		UrgFire01_h1_05	N	5270	6818	0	0	41										
#record		UrgFire01_h1_06	N	23608	16889	0	0	61										
#record		UrgFire01_h2_01	N	14352	19460	0	0	48										
#record		UrgFire01_h2_02	N	18204	12836	0	0	69										
#record		UrgFire01_h2_03	N	3029	17950	0	0	90										
#record		UrgFire01_h2_04	N	23933	9760	0	0	69										
#record		UrgFire01_h2_05	N	5444	6291	0	0	41										
#record		UrgFire01_h2_06	N	23568	17785	0	0	75										
#record		UrgFire01_h3_01	N	13724	18658	0	0	62										
#record		UrgFire01_h3_02	N	19052	11940	0	0	69										
#record		UrgFire01_h3_03	N	4235	17043	0	0	69										
#record		UrgFire01_h3_04	N	22898	9028	0	0	69										
#record		UrgFire01_h3_05	N	5943	7040	0	0	27										
#record		UrgFire01_h3_06	N	22575	19311	0	0	61										
#record		UrgFire01_h4_01	N	12815	19132	0	0	69										
#record		UrgFire01_h4_02	N	19469	12683	0	0	83										
#record		UrgFire01_h4_03	N	2976	16119	0	0	104										
#record		UrgFire01_h4_04	N	23781	8602	0	0	55										
#record		UrgFire01_h4_05	N	6287	6295	0	0	27										
#record		UrgFire01_h4_06	N	23311	18751	0	0	68										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
