;	Shine Monster Regeneration Table			V0.3														
;	Monster Group																	
#ignore	\o042																	
#exchange	#	\x20																
																		
#table	MobRegenGroup																	
;		GroupID	Family	Regen Region														
;			Y/N	X	Y	X	Y	Range/Degree										
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD										
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree										
#record		Alruin_001	N	11057	8754	1102	455	70										
#record		Alruin_002	N	11610	11416	694	1142	50										
#record		Alruin_003	N	7571	15912	1124	352	-15										
#record		Alruin_004	N	5015	14919	1058	319	64										
#record		Alruin_005	N	8149	14519	1571	324	-7										
#record		Alruin_006	N	10505	5269	0	0	847										
#record		Alruin_007	N	13234	10142	282	2627	-2										
#record		Alruin_008	N	9757	16379	1023	411	0										
#record		Alruin_009	N	9776	14788	1324	199	-5										
#record		Alruin_010	N	5900	4738	0	0	651										
#record		Alruin_011	N	13665	5616	103	1562	48										
#record		Alruin_012	N	15533	9612	168	1646	-7										
#record		Alruin_013	N	15649	15154	0	0	685										
#record		Alruin_014	N	11392	16969	1812	215	30										
#record		Alruin_015	N	17458	4897	0	0	616										
#record		Alruin_016	N	9646	18380	1932	180	0										
#record		Alruin_017	N	13852	17928	0	0	875										
#record		Alruin_018	N	15438	5278	295	1331	-25										
#record		Alruin_019	N	14266	12608	267	1950	-2										
#record		Alruin_020	N	14590	17284	0	0	756										
#record		Alruin_021	N	20188	9090	611	1412	37										
#record		Alruin_022	N	9730	19870	1300	564	0										
#record		Alruin_023	N	18414	10058	282	910	30										
#record		Alruin_024	N	13138	20426	0	0	742										
#record		Alruin_025	N	17835	13558	0	0	959										
#record		Alruin_026	N	19363	7057	0	0	587										
#record		Alruin_027	N	19503	5368	0	0	587										
#record		Alruin_028	N	19009	13448	755	386	26										
#record		Alruin_029	N	14322	20797	0	0	700										
#record		Alruin_030	N	8034	20551	0	0	1001										
#record		Alruin_031	N	19861	4509	0	0	573										
#record		Alruin_032	N	18981	5900	0	0	503										
#record		Alruin_033	N	20674	11323	298	1379	34										
#record		Alruin_034	N	6295	19727	0	0	1085										
#record		Alruin_035	N	16016	21694	145	953	51										
#record		Alruin_036	N	20658	19157	0	0	595										
#record		Alruin_037	N	18725	19612	0	0	651										
#record		Alruin_038	N	19500	21220	0	0	721										
#record		Alruin_039	N	21578	19762	0	0	553										
#record		Alruin_040	N	18175	21200	0	0	567										
#record		Alruin_041	N	20867	18270	0	0	665										
#record		Alruin_042	N	17978	18523	0	0	441										
#record		Alruin_043	N	19675	17618	0	0	350										
#record		Alruin_044	N	17488	20046	0	0	350										
#record		Alruin_045	N	17269	19271	0	0	350										
#record		Alruin_046	N	19771	16464	0	0	672										
#record		Alruin_047	N	21183	16051	0	0	525										
#record		Alruin_048	N	16567	18189	0	0	819										
#record		Alruin_049	N	16246	20435	0	0	602										
#record		Alruin_050	N	15705	19164	0	0	448										
#record		FLOWER1	N	8067	15197	0	0	1059										
#record		FLOWER2	N	9530	15548	0	0	1059										
#record		FLOWER3	N	12141	11119	0	0	1059										
#record		FLOWER4	N	11701	9651	0	0	1059										
#record		FLOWER5	N	12054	8289	0	0	1059										
#record		FLOWER6	N	19879	10387	0	0	1059										
#record		FLOWER7	N	19668	9004	0	0	1059										
#record		FLOWER8	N	20425	9639	0	0	1059										
#record		FLOWER9	N	14096	16580	0	0	1059										
#record		FLOWER10	N	13434	17633	0	0	1059										
#record		HERB1	N	14527	16175	0	0	1059										
#record		HERB2	N	14250	16121	0	0	1044										
#record		WOOD8	N	19875	9528	0	0	1262										
#record		WOOD9	N	12882	17514	0	0	1059										
#record		MUSHROOM8	N	20065	8556	0	0	1059										
#record		MUSHROOM9	N	11831	17545	0	0	1059										
#record		P01	N	20169	9773	4441	461	91										
#record		P02	N	14198	11812	368	4861	-8										
#record		Urg_AlruinGuard01	N	6738	8028	0	0	13										
#record		Urg_AlruinGuard02	N	6776	15141	0	0	13										
#record		Urg_AlruinGuard03	N	12197	6625	0	0	13										
#record		Urg_AlruinGuard04	N	6576	12241	0	0	13										
#record		Urg_AlruinGuard05	N	6180	12172	0	0	20										
#record		Urg_AlruinGuard06	N	8287	10407	0	0	13										
#record		Urg_AlruinGuard07	N	8251	10782	0	0	13										
#record		Urg_Alruin_Lab01	N	20730	5928	1094	673	68										
#record		Alruin_h1_01	N	10885	8188	0	0	76										
#record		Alruin_h1_02	N	10397	4761	0	0	83										
#record		Alruin_h1_03	N	14907	14644	0	0	69										
#record		Alruin_h1_04	N	20402	8627	0	0	55										
#record		Alruin_h1_05	N	17629	13038	0	0	90										
#record		Alruin_h1_06	N	18778	7060	0	0	82										
#record		Alruin_h1_07	N	19357	4855	0	0	40										
#record		Alruin_h1_08	N	18486	21339	0	0	97										
#record		Alruin_h1_09	N	19924	17066	0	0	48										
#record		Alruin_h1_10	N	16018	18115	0	0	48										
#record		Alruin_h2_01	N	11344	8679	0	0	104										
#record		Alruin_h2_02	N	9944	5466	0	0	62										
#record		Alruin_h2_03	N	14922	15744	0	0	55										
#record		Alruin_h2_04	N	20854	9279	0	0	34										
#record		Alruin_h2_05	N	18595	13382	0	0	104										
#record		Alruin_h2_06	N	18592	6484	0	0	61										
#record		Alruin_h2_07	N	19931	4373	0	0	61										
#record		Alruin_h2_08	N	20246	20563	0	0	104										
#record		Alruin_h2_09	N	21089	17029	0	0	55										
#record		Alruin_h2_10	N	15902	19263	0	0	62										
#record		Alruin_h3_01	N	11835	9015	0	0	83										
#record		Alruin_h3_02	N	10931	5288	0	0	76										
#record		Alruin_h3_03	N	15782	15267	0	0	69										
#record		Alruin_h3_04	N	19632	8909	0	0	69										
#record		Alruin_h3_05	N	16952	13640	0	0	104										
#record		Alruin_h3_06	N	19073	6271	0	0	75										
#record		Alruin_h3_07	N	18754	5098	0	0	61										
#record		Alruin_h3_08	N	19746	21567	0	0	104										
#record		Alruin_h3_09	N	20677	17886	0	0	69										
#record		Alruin_h3_10	N	16769	18167	0	0	55										
#record		Alruin_h4_01	N	10509	8912	0	0	69										
#record		Alruin_h4_02	N	10435	5558	0	0	48										
#record		Alruin_h4_03	N	15534	14627	0	0	76										
#record		Alruin_h4_04	N	21144	8430	0	0	41										
#record		Alruin_h4_05	N	17693	13892	0	0	69										
#record		Alruin_h4_06	N	19325	6811	0	0	75										
#record		Alruin_h4_07	N	19521	5351	0	0	47										
#record		Alruin_h4_08	N	19062	20626	0	0	83										
#record		Alruin_h4_09	N	20383	16650	0	0	41										
#record		Alruin_h4_10	N	16824	17317	0	0	55										
																		
																		
																		
#table	MobRegen																	
;		GroupID	MobIndex	number	number	Regen Time(sec)							Base					
;					Standard	Min	Max	delta	sec	delta	sec	delta	sec	delta	sec	delta		
#columntype		INDEX	STRING[33]	BYTE	BYTE	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	
#columnname		RegenIndex	MobIndex	MobNum	KillNum	RegStandard	RegMin	RegMax	RegDelta0	RegSec0	RegDelta1	RegSec1	RegDelta2	RegSec2	RegDelta3	RegSec3	RegDelta4	
#record		Alruin_001	MagriteImp	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_002	MagriteImp	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_003	MagriteImp	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_004	MagriteImp	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_005	MagriteImp	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_006	MagriteHoneying	10	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_007	MagriteHoneying	12	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_008	MagriteHoneying	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_009	MagriteHoneying	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_010	MagriteHoneying	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_011	BabyPhouch	5	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_012	BabyPhouch	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_013	BabyPhouch	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_014	BabyPhouch	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_015	BabyPhouch	4	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_016	Phouch	8	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_017	Phouch	7	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_018	Phouch	5	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
#record		Alruin_019	Phouch	4	0	13	26	-6	13	-3	16	8	22	10	26	0	0	
