
#ignore	\o042			
#exchange	#	\x20		

								
#Table	Tab00	
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]	
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05	
#Record	0	SappColl00	TigerColl00	PinkColl00	-	-	-	
#Record	1	Set_F20Armor01	Set_C20Armor01	Set_A20Armor01	Set_M20Armor01	Set_J20Armor01	-	
#Record	2	Set_F30Armor01	Set_C30Armor01	Set_A30Armor01	Set_M30Armor01	Set_J30Armor01	-	
#Record	3	-	-	-	-	-	-	
#Record	4	-	-	-	-	-	-	
								
#End								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
	0							
	1							
	2							
	3							
