	;	Shine NPC table(ShineNPC.txt)																
	#ignore	\o042				; ???? ??												
	#exchange	#	\x20			; # => space												
	#delimiter	\x20				; Space is delimiter												
																		
	#Table	ShineNPC																
	#ColumnType		STRING[33]	STRING[20]	DWRD	DWRD	WORD	BYTE	INDEX	INDEX								
	#ColumnName		MobName	Map	Coord-X	Coord-Y	Direct	NPCMenu	Role	RoleArg0								
																		
	#Table	LinkTable																
	#ColumnType									Index	String[33]	String[33]	DWRD	DWRD	WORD	WORD	WORD	BYTE
	#ColumnName									argument	MapServer	MapClient	Coord-X	Coord-Y	Direct	LevelFrom	LevelTo	Party
																		
																		
;	?? npc																	
	#recordin	ShineNPC	RouSmithJames	RouN	5606	8852	-59	1	Merchant	Weapon								
	#recordin	ShineNPC	QM_Cornell	RouN	6905	8385	179	1	Merchant	Item								
	#recordin	ShineNPC	RouTownChiefRoumenus	RouN	6203	7547	-49	1	ClientMenu	-								
	#recordin	ShineNPC	RouWeaponTitleMctZach	RouN	6036	8487	121	1	Merchant	WeaponTitle								
;	#recordin	ShineNPC	RouGaianMaria	RouN	5277	7543	-29	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouSkillRubi	RouN	5640	9374	-32	1	Merchant	Skill								
	#recordin	ShineNPC	RouItemMctPey	RouN	7341	9030	96	1	Merchant	Item								
;	#recordin	ShineNPC	GuildItemMct	RouN	7339	8345	129	1	Merchant	Guild								
	#recordin	ShineNPC	RouStoreRaina	RouN	6822	7131	12	1	StoreManager	-								
;	#recordin	ShineNPC	RouFurnitureMctZzing	RouN				1	-	-								
	#recordin	ShineNPC	RouRookieGuideRaemi	RouN	5917	5503	0	1	QuestNpc	Quest								
;	#recordin	ShineNPC	RouDiggerPalmers	RouN				1	-	-								
	#recordin	ShineNPC	RouGrandfatherRobin	RouN	5083	6743	-88	1	QuestNpc	Quest								
;	#recordin	ShineNPC	RouFurnitureForestTom	RouN	6918	6664	0	1	Merchant	Item								
	#recordin	ShineNPC	RouNCaptionMoss	RouN	7164	5175	-162	1	QuestNpc	Quest								
	#recordin	ShineNPC	RouNCaptionMoss	RouCos03	7060	16124	0	1	QuestNpc	Quest								
;	#recordin	ShineNPC	Vietree	RouN	5277	7543	-29	1	QuestNpc	Quest								
;	??? ??? npc																	
;	#recordin	ShineNPC	Vietree	Eld	14632	15766	0	1	QuestNpc	Quest								
;	?? ?? npc																	
	#recordin	ShineNPC	RouGuildBrom	RouN	7328	8740	115	1	NPCMenu	Guild								
;	?? ??? 																	
;	#recordin	ShineNPC	PostCos01	RouN	9408	10165	13	1	QuestNpc	Quest								
	#recordin	ShineNPC	PostCos02	RouN	6380	9131	-15	1	QuestNpc	Quest								
	#recordin	ShineNPC	PostCos03	RouN	6982	5454	170	1	QuestNpc	Quest								
;	#recordin	ShineNPC	PostRoumenus	RouN	6200	7425	-67	1	QuestNpc	Quest								
	#recordin	ShineNPC	PostRemi	RouN	5851	5384	0	1	QuestNpc	Quest								
;	??? ? 																	
;	#recordin	ShineNPC	HouseZonePost	RouN	7824	5170	-100	1	QuestNpc	Quest								
;	#recordin	ShineNPC	HouseZonePost	RouN	4838	4118	32	1	QuestNpc	Quest								
;	?? ???? NPC																	
	#recordin	ShineNPC	Gate_Town	RouN	5875	6526	0	1	QuestNpc	Quest								
;	??? ?? ?????																	
	#recordin	ShineNPC	InvisibleMan	RouN	6188	9849	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6743	9864	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6769	9509	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6067	9501	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6425	9170	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5828	8963	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7007	9099	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6429	8566	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5732	8496	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7039	8534	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6437	8061	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6389	7576	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5550	7648	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6130	6985	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5386	7151	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5437	6626	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6293	6425	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5437	6626	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5387	6136	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	4768	5880	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5087	5336	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5806	5753	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	5782	5186	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6447	5830	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	6522	5359	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7159	5892	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7225	5357	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7933	5910	0	0	QuestNpc	-								
	#recordin	ShineNPC	InvisibleMan	RouN	7928	5379	0	0	QuestNpc	-								
;	????? ??? ???																	
;	#recordin	ShineNPC	EventPost01	RouN	6688	8732	111	1	QuestNpc	Quest								
;	????? ??																	
;	#recordin	ShineNPC	ChristmasTree	RouN	6869	8702	0	0	QuestNpc	Quest								
;	??? npc																	
	#recordin	ShineNPC	EldSmithKarls	Eld	16734	14837	0	1	Merchant	Weapon								
	#recordin	ShineNPC	EldWeaponTitleMctBran	Eld	15613	15123	39	1	Merchant	WeaponTitle								
	#recordin	ShineNPC	EldStoreKyle	Eld	14357	12086	-171	1	StoreManager	-								
	#recordin	ShineNPC	EldItemMctNina	Eld	17382	12362	173	1	Merchant	Item								
;	#recordin	ShineNPC	GuildItemMct	Eld	10249	13327	-92	1	Merchant	Guild								
