;-------------------------------- DEFINE SCRIPTOR COMMAND ---------------------------------
#DEFINE CHARACTER
	<INTEGER>		;	Class

	<STRING>		;	Start Map name
	<INTEGER>		;	Start PX
	<INTEGER>		;	Start PY

	<INTEGER>		;	HP
	<INTEGER>		;	SP
	<INTEGER>		;	HP Soul stone count
	<INTEGER>		;	SP Soul stone count

	<INTEGER>		;	Money
	#ENDDEFINE

#DEFINE ITEM
	<INTEGER>		;	Class
	<INTEGER>		;	Item ID
	<INTEGER>		;	Item Lot
	#ENDDEFINE

#DEFINE SKILL
	<INTEGER>		;	Class
	<INTEGER>		;	Skill ID
	#ENDDEFINE

#DEFINE QUEST
	<INTEGER>		;	Class
	<INTEGER>		;	Quest ID
	#ENDDEFINE

#DEFINE MAXSHAPE
	<INTEGER>		;	Class
	<INTEGER>		;	Max Face type
	<INTEGER>		;	Max Hair type
	<INTEGER>		;	Max Hair color
	#ENDDEFINE

#DEFINE SHORTCUT
	<INTEGER>		;	Class
	<INTEGER>		;	nSlotNo
	<INTEGER>		;	nCodeNo
	<INTEGER>		;	nValue
	#ENDDEFINE

;----------------------------------- DEFINE DATA -----------------------------------
; Class:
;	1	=	Fighter
;	6	=	Cleric
;	11	=	Archer
;	16	=	Mage
;	21	=	Joker

;-----------------------------------------------------------------------------------
;			Class	Map		PX		PY		HP		SP		HPSoul	SPSoul	Money
CHARACTER	1,		"RouN",	5979,	5276,	999,	999,	15,		7,		0
CHARACTER	2,		"RouN",	5979,	5276,	999,	999,	15,		7,		0
CHARACTER	3,		"RouN",	5979,	5276,	999,	999,	15,		7,		0
CHARACTER	4,		"RouN",	5979,	5276,	999,	999,	15,		7,		0
CHARACTER	5,		"RouN",	5979,	5276,	999,	999,	15,		7,		0

CHARACTER	6,		"RouN",	5979,	5276,	999,	999,	14,		10,		0
CHARACTER	7,		"RouN", 5979,	5276,	999,	999,	14,		10,		0	
CHARACTER	8,		"RouN",	5979,	5276,	999,	999,	14,		10,		0	
CHARACTER	9,		"RouN",	5979,	5276,	999,	999,	14,		10,		0	
CHARACTER	10,		"RouN",	5979,	5276,	999,	999,	14,		10,		0	

CHARACTER	11,		"RouN",	5979,	5276,	999,	999,	13,		10,		0
CHARACTER	12,		"RouN",	5979,	5276,	999,	999,	13,		10,		0
CHARACTER	13,		"RouN",	5979,	5276,	999,	999,	13,		10,		0
CHARACTER	14,		"RouN",	5979,	5276,	999,	999,	13,		10,		0
CHARACTER	15,		"RouN",	5979,	5276,	999,	999,	13,		10,		0

CHARACTER	16,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	17,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	18,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	19,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	20,		"RouN",	5979,	5276,	999,	999,	11,		15,		0

CHARACTER	21,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	22,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	23,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	24,		"RouN",	5979,	5276,	999,	999,	11,		15,		0
CHARACTER	25,		"RouN",	5979,	5276,	999,	999,	11,		15,		0

;-----------------------------------------------------------------------------------
; 			Class	ItemID,		Lot		;	Comment
ITEM		1,		250,		1		;	Short Sword
ITEM		1,		0,			1		;	Leather Boots
ITEM		1,		1,			1		;	Leather Helmet
ITEM		1,		2,			1		;	Leather Pants
ITEM		1,		200,		1		;	Wooden Shield

ITEM		2,		250,		1		;	Short Sword
ITEM		3,		250,		1		;	Short Sword
ITEM		4,		250,		1		;	Short Sword
ITEM		5,		250,		1		;	Short Sword

ITEM		6,		750,		1		;	Short Mace
ITEM		6,		500,		1		;	Litany Boots
ITEM		6,		501,		1		;	Litany Helmet
ITEM		6,		502,		1		;	Litany Pants
ITEM		6,		700,		1		;	Small Shield

ITEM		7,		750,		1		;	Short Mace
ITEM		8,		750,		1		;	Short Mace
ITEM		9,		750,		1		;	Short Mace
ITEM		10,		750,		1		;	Short Mace

ITEM		11,		1250,		1		;	Short Bow
ITEM		11,		1000,		1		;	Trivial Boots
ITEM		11,		1001,		1		;	Trivial Hat
ITEM		11,		1002,		1		;	Trivial Pants

ITEM		12,		1250,		1		;	Short Bow
ITEM		13,		1250,		1		;	Short Bow
ITEM		14,		1250,		1		;	Short Bow
ITEM		15,		1250,		1		;	Short Bow

ITEM		16,		1750,		1		;	Short Staff
ITEM		16,		1500,		1		;	Novice Boots
ITEM		16,		1501,		1		;	Novice Hat
ITEM		16,		1502,		1		;	Novice Pants

ITEM		17,		1750,		1		;	Short Staff
ITEM		18,		1750,		1		;	Short Staff
ITEM		19,		1750,		1		;	Short Staff
ITEM		20,		1750,		1		;	Short Staff

ITEM		21,		60000,		1		;	Abel Claws 
ITEM		21,		60027,		1		;	Reo Boots
ITEM		21,		60028,		1		;	Reo Hood
ITEM		21,		60029,		1		;	Reo Pants

ITEM		22,		60000,		1		;	Abel Claws 
ITEM		23,		60000,		1		;	Abel Claws 
ITEM		24,		60000,		1		;	Abel Claws 
ITEM		25,		60000,		1		;	Abel Claws 

ITEM		1,		46003,		1		;	Damaged Mystery Vault
ITEM		2,		46003,		1		;	Damaged Mystery Vault
ITEM		3,		46003,		1		;	Damaged Mystery Vault
ITEM		4,		46003,		1		;	Damaged Mystery Vault
ITEM		5,		46003,		1		;	Damaged Mystery Vault
ITEM		6,		46003,		1		;	Damaged Mystery Vault
ITEM		7,		46003,		1		;	Damaged Mystery Vault
ITEM		8,		46003,		1		;	Damaged Mystery Vault
ITEM		9,		46003,		1		;	Damaged Mystery Vault
ITEM		10,		46003,		1		;	Damaged Mystery Vault
ITEM		11,		46003,		1		;	Damaged Mystery Vault
ITEM		12,		46003,		1		;	Damaged Mystery Vault
ITEM		13,		46003,		1		;	Damaged Mystery Vault
ITEM		14,		46003,		1		;	Damaged Mystery Vault
ITEM		15,		46003,		1		;	Damaged Mystery Vault
ITEM		16,		46003,		1		;	Damaged Mystery Vault
ITEM		17,		46003,		1		;	Damaged Mystery Vault
ITEM		18,		46003,		1		;	Damaged Mystery Vault
ITEM		19,		46003,		1		;	Damaged Mystery Vault
ITEM		20,		46003,		1		;	Damaged Mystery Vault
ITEM		21,		46003,		1		;	Damaged Mystery Vault
ITEM		22,		46003,		1		;	Damaged Mystery Vault
ITEM		23,		46003,		1		;	Damaged Mystery Vault
ITEM		24,		46003,		1		;	Damaged Mystery Vault
ITEM		25,		46003,		1		;	Damaged Mystery Vault

ITEM		1,		4500,		1		;	Pickaxe
