

											


#Delimiter	\x20	
											
											
#Table	NPCCondition										
#ColumnType	Byte	String[33]	String[33]	DWRD	DWRD	String[33]	String[33]	DWRD	DWRD		
#ColumnName	ConditionID	ConditionA	TypeA	AX	AY	ConditionB	TypeB	BX	BY		
#Record	1	Default	-	0	0	None	-	0	0		
#Record	2	LvGap	-	10	20	None	-	0	0		
#Record	3	Class	Fighter	0	0	None	-	0	0		
#Record	4	AbState	StaMob6Poison	0	0	None	-	0	0		
#Record	5	Term	-	1000	0	Skill	MagicMissile01	0	0		
#Record	6	Term	-	3000	0	None	-	0	0		
#Record	7	Term	-	1000	0	Emotion	-	17	1		
#Record	8	Term	-	1000	0	Emotion	-	31	0		
#Record	9	Die	-	0	0	None	-	0	0		
#Record	10	Emotion	-	17	1	None	-	0	0		
#Record	11	Emotion	-	12	1	None	-	0	0		
#Record	12	Emotion	-	23	1	None	-	0	0		
#Record	13	Emotion	-	24	1	None	-	0	0		
#Record	14	Emotion	-	25	1	None	-	0	0		
#Record	15	Emotion	-	26	1	None	-	0	0		
#Record	16	GTITeam	-	0	0	None	-	0	0	
#Record	17	GTITeam	-	1	0	None	-	0	0	
#Record	18	DmgAbsorb	-	0	0	None	-	0	0	
#Record	19	CheckCycleParty	-	1500	0	None	-	0	0	
											
#Table	NPCAction										
#ColumnType	Byte	String[33]	String[33]	DWRD	DWRD						
#ColumnName	ActionID	ActionIndex	Type	X	Y						
#Record	1	Link	-	0	0						
#Record	2	Skill	MagicMissile08	0	0						
#Record	3	AbState	StaSafeProtection	0	0						
#Record	4	Dispell	StaMob6Poison	0	0						
#Record	5	Emotion	-	31	0						
#Record	6	Skill	Revival01	0	0						
#Record	7	Notice	Totem01	0	0						
#Record	8	Skill	Summon01	0	0						
#Record	9	AbState	StaSilberkBlooding	0	0						
#Record	10	AbState	StaKarenDotHeal	0	0						
#Record	11	AbState	StaMob6Poison	0	0						
#Record	12	AbState	StaMob6Poison	0	0						
#Record	13	Notice	Totem02	0	0						
#Record	14	Notice	Totem03	0	0						
#Record	15	Notice	Totem04	0	0						
#Record	16	Notice	Boar	0	0						
#Record	17	AbState	StaEventHpUp	0	0						
#Record	18	AbState	StaEventSpUp	0	0						
#Record	19	AbState	StaEventAllStatsUp	0	0						
#Record	20	AbState	StaEventSpeed	0	0						
#Record	21	AbState	StaEventAcUp	0	0						
#Record	22	Dispell	StaEventHpUp	0	0						
#Record	23	Dispell	StaEventSpUp	0	0						
#Record	24	Dispell	StaEventAllStatsUp	0	0						
#Record	25	Dispell	StaEventSpeed	0	0						
#Record	26	Dispell	StaEventAcUp	0	0						
#Record	27	GTIEffect	-	0	0	
#Record	28	Die	-	0	0	
#Record	29	DmgAbsorb	-	0	0	
#Record	30	AbState	StaMultiHeal	0	0	
#End											
